Year,County,Yield_Bu_Acre,February_End_Pct,March_End_Pct,April_End_Pct,May_End_Pct,June_End_Pct,July_End_Pct
2000,AUSTIN,100.0,0.0,0.0,80.0,97.0,97.0,97.0
2001,AUSTIN,91.0,0.0,0.0,69.0,98.0,98.0,98.0
2002,AUSTIN,72.9,0.0,0.0,75.0,99.0,100.0,100.0
2003,AUSTIN,46.1,0.0,0.0,73.0,99.0,100.0,100.0
2004,AUSTIN,89.3,0.0,0.0,70.0,98.0,98.0,98.0
2005,AUSTIN,78.7,0.0,0.0,72.0,95.0,95.0,95.0
2006,AUSTIN,119.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,AUSTIN,93.0,0.0,0.0,70.0,98.0,98.0,98.0
2010,AUSTIN,86.7,0.0,0.0,61.0,97.0,97.0,97.0
2011,AUSTIN,19.5,0.0,0.0,66.0,98.0,100.0,100.0
2012,AUSTIN,108.0,0.0,0.0,70.0,95.0,95.0,95.0
2013,AUSTIN,91.2,0.0,0.0,69.0,95.0,98.0,98.0
2014,AUSTIN,105.6,0.0,0.0,64.0,97.0,100.0,100.0
2018,AUSTIN,68.5,0.0,43.0,70.0,90.0,96.0,96.0
2019,AUSTIN,127.3,0.0,51.0,65.0,93.0,100.0,100.0
2020,AUSTIN,113.1,0.0,50.0,67.0,96.0,98.0,98.0
2021,AUSTIN,88.0,3.0,50.0,66.0,95.0,95.0,95.0
2024,AUSTIN,83.9,3.0,57.0,71.0,92.0,100.0,100.0
2000,BASTROP,72.1,0.0,0.0,80.0,97.0,97.0,97.0
2001,BASTROP,66.4,0.0,0.0,69.0,98.0,98.0,98.0
2002,BASTROP,46.7,0.0,0.0,75.0,99.0,100.0,100.0
2003,BASTROP,40.0,0.0,0.0,73.0,99.0,100.0,100.0
2004,BASTROP,109.4,0.0,0.0,70.0,98.0,98.0,98.0
2005,BASTROP,80.8,0.0,0.0,72.0,95.0,95.0,95.0
2006,BASTROP,57.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,BASTROP,101.0,0.0,0.0,70.0,98.0,98.0,98.0
2014,BASTROP,86.6,0.0,0.0,64.0,97.0,100.0,100.0
2000,BELL,92.0,0.0,0.0,80.0,97.0,97.0,97.0
2001,BELL,74.5,0.0,0.0,69.0,98.0,98.0,98.0
2002,BELL,68.9,0.0,0.0,75.0,99.0,100.0,100.0
2003,BELL,70.1,0.0,0.0,73.0,99.0,100.0,100.0
2004,BELL,91.6,0.0,0.0,70.0,98.0,98.0,98.0
2005,BELL,64.0,0.0,0.0,72.0,95.0,95.0,95.0
2006,BELL,83.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,BELL,87.0,0.0,0.0,70.0,98.0,98.0,98.0
2008,BELL,63.0,0.0,0.0,66.0,97.0,99.0,99.0
2009,BELL,52.5,0.0,0.0,74.0,98.0,100.0,100.0
2010,BELL,79.6,0.0,0.0,61.0,97.0,97.0,97.0
2011,BELL,33.0,0.0,0.0,66.0,98.0,100.0,100.0
2012,BELL,81.2,0.0,0.0,70.0,95.0,95.0,95.0
2013,BELL,94.6,0.0,0.0,69.0,95.0,98.0,98.0
2014,BELL,113.2,0.0,0.0,64.0,97.0,100.0,100.0
2015,BELL,63.2,2.0,20.0,56.0,83.0,100.0,100.0
2016,BELL,60.6,0.0,38.0,52.0,93.0,99.0,99.0
2017,BELL,103.5,0.0,45.0,71.0,96.0,100.0,100.0
2018,BELL,56.4,0.0,43.0,70.0,90.0,96.0,96.0
2019,BELL,105.8,0.0,51.0,65.0,93.0,100.0,100.0
2020,BELL,94.2,0.0,50.0,67.0,96.0,98.0,98.0
2021,BELL,109.1,3.0,50.0,66.0,95.0,95.0,95.0
2022,BELL,59.2,5.0,51.0,69.0,94.0,99.0,99.0
2023,BELL,102.3,5.0,52.0,74.0,92.0,100.0,100.0
2024,BELL,54.6,3.0,57.0,71.0,92.0,100.0,100.0
2002,BOSQUE,142.3,0.0,0.0,75.0,99.0,100.0,100.0
2003,BOSQUE,104.7,0.0,0.0,73.0,99.0,100.0,100.0
2005,BOSQUE,57.3,0.0,0.0,72.0,95.0,95.0,95.0
2010,BOSQUE,35.0,0.0,0.0,61.0,97.0,97.0,97.0
2000,BOWIE,111.6,0.0,0.0,80.0,97.0,97.0,97.0
2001,BOWIE,108.9,0.0,0.0,69.0,98.0,98.0,98.0
2002,BOWIE,99.1,0.0,0.0,75.0,99.0,100.0,100.0
2003,BOWIE,105.0,0.0,0.0,73.0,99.0,100.0,100.0
2004,BOWIE,114.6,0.0,0.0,70.0,98.0,98.0,98.0
2005,BOWIE,88.0,0.0,0.0,72.0,95.0,95.0,95.0
2006,BOWIE,110.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,BOWIE,128.0,0.0,0.0,70.0,98.0,98.0,98.0
2000,BRAZOS,98.1,0.0,0.0,80.0,97.0,97.0,97.0
2001,BRAZOS,118.4,0.0,0.0,69.0,98.0,98.0,98.0
2002,BRAZOS,99.8,0.0,0.0,75.0,99.0,100.0,100.0
2003,BRAZOS,88.1,0.0,0.0,73.0,99.0,100.0,100.0
2004,BRAZOS,114.7,0.0,0.0,70.0,98.0,98.0,98.0
2005,BRAZOS,93.7,0.0,0.0,72.0,95.0,95.0,95.0
2006,BRAZOS,91.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,BRAZOS,147.0,0.0,0.0,70.0,98.0,98.0,98.0
2009,BRAZOS,66.3,0.0,0.0,74.0,98.0,100.0,100.0
2010,BRAZOS,123.3,0.0,0.0,61.0,97.0,97.0,97.0
2023,BRAZOS,147.7,5.0,52.0,74.0,92.0,100.0,100.0
2000,BURLESON,110.4,0.0,0.0,80.0,97.0,97.0,97.0
2001,BURLESON,100.7,0.0,0.0,69.0,98.0,98.0,98.0
2002,BURLESON,91.9,0.0,0.0,75.0,99.0,100.0,100.0
2003,BURLESON,82.6,0.0,0.0,73.0,99.0,100.0,100.0
