Year,County,Soil_pH,Soil_Clay_Pct,Soil_Organic_Carbon,M5_ALLSKY_SFC_SW_DWN,M6_ALLSKY_SFC_SW_DWN,M7_ALLSKY_SFC_SW_DWN,M8_ALLSKY_SFC_SW_DWN,M9_ALLSKY_SFC_SW_DWN,M10_ALLSKY_SFC_SW_DWN,M5_PRECTOTCORR,M6_PRECTOTCORR,M7_PRECTOTCORR,M8_PRECTOTCORR,M9_PRECTOTCORR,M10_PRECTOTCORR,M5_QV2M,M6_QV2M,M7_QV2M,M8_QV2M,M9_QV2M,M10_QV2M,M5_RH2M,M6_RH2M,M7_RH2M,M8_RH2M,M9_RH2M,M10_RH2M,M5_T2M,M6_T2M,M7_T2M,M8_T2M,M9_T2M,M10_T2M,M5_T2MDEW,M6_T2MDEW,M7_T2MDEW,M8_T2MDEW,M9_T2MDEW,M10_T2MDEW,M5_T2M_MAX,M6_T2M_MAX,M7_T2M_MAX,M8_T2M_MAX,M9_T2M_MAX,M10_T2M_MAX,M5_T2M_MIN,M6_T2M_MIN,M7_T2M_MIN,M8_T2M_MIN,M9_T2M_MIN,M10_T2M_MIN,M5_WS2M,M6_WS2M,M7_WS2M,M8_WS2M,M9_WS2M,M10_WS2M
2000,COLORADO,,,,21.38,21.83,25.41,23.02,20.49,13.29,4.97,3.32,0.96,0.82,1.92,3.5,15.74,16.54,14.77,15.44,13.24,12.68,78.27,75.21,59.34,62.42,60.5,76.15,25.69,27.45,30.54,30.27,27.38,22.1,21.11,21.99,19.95,20.75,17.38,17.03,34.72,36.33,41.73,43.08,44.77,35.74,14.65,17.96,22.64,23.13,10.42,7.8,3.02,2.79,2.57,2.13,2.61,2.67
2001,COLORADO,,,,22.54,22.99,23.56,19.65,19.57,16.36,3.23,5.3,1.85,6.62,4.23,3.25,14.33,16.39,17.1,16.71,16.02,11.58,74.7,75.52,71.19,69.22,81.99,80.27,25.08,27.14,29.18,29.44,24.59,19.43,19.52,21.83,22.54,22.11,21.05,15.6,35.45,34.82,38.99,39.5,32.73,30.92,14.23,19.42,22.68,23.18,11.22,5.86,2.82,2.43,2.16,2.45,1.99,2.43
2002,COLORADO,,,,22.0,22.69,22.7,21.3,18.13,12.23,1.44,3.53,4.02,3.96,5.84,8.19,13.24,15.37,18.11,17.98,15.88,13.77,65.48,66.46,79.97,77.79,79.17,84.85,26.06,28.75,27.75,28.17,25.37,21.56,17.84,20.67,23.56,23.38,21.11,18.63,36.74,39.25,35.8,36.37,34.5,34.09,11.39,19.95,22.63,21.55,16.12,8.05,3.52,2.51,2.15,2.04,2.7,2.41
2003,COLORADO,,,,20.96,22.77,20.28,21.76,17.56,15.39,0.23,3.69,4.38,2.71,5.97,3.42,14.76,16.74,18.01,17.25,15.36,12.65,69.63,71.51,79.58,72.72,80.72,79.56,27.11,28.6,27.74,28.82,24.46,21.21,19.95,22.09,23.47,22.68,20.56,17.11,38.7,37.34,34.73,40.59,33.21,32.25,17.96,19.73,22.54,20.21,13.26,7.48,3.06,2.16,2.1,1.95,1.94,2.21
2004,COLORADO,,,,20.5,19.32,24.09,22.07,18.39,14.14,5.69,9.56,1.82,2.4,1.34,4.36,14.93,18.38,18.12,16.43,14.57,15.14,81.97,86.23,80.98,71.57,67.27,78.58,23.66,26.48,27.4,28.09,27.36,24.7,20.11,23.79,23.54,21.63,19.73,20.26,36.53,35.51,34.39,36.91,37.48,36.02,9.41,22.23,21.09,17.97,19.29,10.18,3.02,2.12,1.84,2.16,2.01,2.68
2005,COLORADO,,,,22.14,25.67,23.4,21.71,19.14,16.67,4.1,0.31,4.49,2.15,1.64,2.79,13.54,15.31,17.32,17.69,16.38,10.74,75.04,65.21,70.55,73.29,69.69,65.52,23.88,29.04,29.64,29.0,28.87,21.87,18.51,20.62,22.67,23.11,21.76,14.02,36.45,39.68,41.63,37.69,40.32,36.1,9.14,20.27,20.23,23.26,20.91,5.16,2.2,2.42,2.0,1.66,2.39,2.42
2006,COLORADO,,,,22.47,24.36,20.9,22.1,17.8,14.67,3.12,3.98,6.32,1.69,3.36,7.35,13.54,15.34,18.32,18.11,14.98,13.34,68.09,70.95,82.78,78.51,73.07,80.09,25.87,27.35,27.23,28.03,25.95,21.77,18.23,20.68,23.75,23.5,20.02,17.79,38.02,38.62,34.91,35.37,35.49,33.96,13.25,18.96,22.26,19.5,13.91,6.78,2.92,2.04,1.81,1.8,2.19,2.39
2007,COLORADO,,,,19.77,21.52,17.63,20.87,18.44,17.43,5.05,3.55,9.29,4.65,2.4,2.5,14.59,17.73,18.69,19.25,16.98,12.29,82.12,82.91,88.95,85.02,83.67,73.82,23.39,26.56,26.14,27.48,25.63,21.59,19.88,23.17,24.08,24.55,22.43,16.15,31.2,33.98,31.96,35.11,31.63,31.98,14.66,19.78,22.32,22.6,18.23,6.6,2.36,2.02,1.83,1.66,1.77,2.26
2008,COLORADO,,,,21.16,24.88,23.29,19.93,20.15,17.52,1.01,1.73,2.51,4.11,3.16,2.0,13.74,15.68,16.01,17.46,13.62,10.3,68.36,63.85,68.65,74.23,69.64,68.3,25.9,29.72,28.81,28.58,25.41,20.79,18.52,21.11,21.44,22.87,18.58,13.64,37.84,38.94,38.85,37.44,37.68,33.41,13.58,23.0,21.58,23.05,14.96,3.84,3.31,3.19,2.42,1.95,2.58,2.2
2009,COLORADO,,,,22.06,26.02,24.23,22.59,15.37,13.46,1.17,0.53,1.51,2.22,4.3,7.64,14.17,14.91,16.16,16.54,15.71,13.52,72.6,60.94,61.0,65.91,78.04,82.99,25.27,29.85,31.23,30.06,25.72,20.97,19.23,20.21,21.56,21.95,21.13,17.73,33.73,41.36,40.67,40.75,35.45,31.89,12.1,17.32,24.32,22.55,16.41,6.24,2.54,2.9,2.79,2.12,2.02,2.96
