Year,County,Soil_pH,Soil_Clay_Pct,Soil_Organic_Carbon,M3_ALLSKY_SFC_SW_DWN,M4_ALLSKY_SFC_SW_DWN,M5_ALLSKY_SFC_SW_DWN,M6_ALLSKY_SFC_SW_DWN,M7_ALLSKY_SFC_SW_DWN,M8_ALLSKY_SFC_SW_DWN,M3_PRECTOTCORR,M4_PRECTOTCORR,M5_PRECTOTCORR,M6_PRECTOTCORR,M7_PRECTOTCORR,M8_PRECTOTCORR,M3_QV2M,M4_QV2M,M5_QV2M,M6_QV2M,M7_QV2M,M8_QV2M,M3_RH2M,M4_RH2M,M5_RH2M,M6_RH2M,M7_RH2M,M8_RH2M,M3_T2M,M4_T2M,M5_T2M,M6_T2M,M7_T2M,M8_T2M,M3_T2MDEW,M4_T2MDEW,M5_T2MDEW,M6_T2MDEW,M7_T2MDEW,M8_T2MDEW,M3_T2M_MAX,M4_T2M_MAX,M5_T2M_MAX,M6_T2M_MAX,M7_T2M_MAX,M8_T2M_MAX,M3_T2M_MIN,M4_T2M_MIN,M5_T2M_MIN,M6_T2M_MIN,M7_T2M_MIN,M8_T2M_MIN,M3_WS2M,M4_WS2M,M5_WS2M,M6_WS2M,M7_WS2M,M8_WS2M
2000,COLORADO,,,,16.4,20.48,21.38,21.83,25.41,23.02,1.82,3.58,4.97,3.32,0.96,0.82,10.67,11.0,15.74,16.54,14.77,15.44,74.92,72.13,78.27,75.21,59.34,62.42,19.59,21.01,25.69,27.45,30.54,30.27,14.31,14.87,21.11,21.99,19.95,20.75,32.27,33.04,34.72,36.33,41.73,43.08,3.7,6.08,14.65,17.96,22.64,23.13,3.15,2.84,3.02,2.79,2.57,2.13
2001,COLORADO,,,,14.68,17.7,22.54,22.99,23.56,19.65,4.2,0.7,3.23,5.3,1.85,6.62,7.88,13.05,14.33,16.39,17.1,16.71,81.23,79.89,74.7,75.52,71.19,69.22,13.59,21.91,25.08,27.14,29.18,29.44,10.15,17.87,19.52,21.83,22.54,22.11,25.15,30.8,35.45,34.82,38.99,39.5,3.74,9.81,14.23,19.42,22.68,23.18,2.64,3.19,2.82,2.43,2.16,2.45
2002,COLORADO,,,,15.36,19.03,22.0,22.69,22.7,21.3,1.12,2.61,1.44,3.53,4.02,3.96,9.31,13.15,13.24,15.37,18.11,17.98,74.91,76.19,65.48,66.46,79.97,77.79,16.31,23.08,26.06,28.75,27.75,28.17,11.22,18.07,17.84,20.67,23.56,23.38,29.87,36.3,36.74,39.25,35.8,36.37,-3.62,11.56,11.39,19.95,22.63,21.55,3.67,3.13,3.52,2.51,2.15,2.04
2003,COLORADO,,,,15.18,17.97,20.96,22.77,20.28,21.76,1.24,0.75,0.23,3.69,4.38,2.71,9.21,11.99,14.76,16.74,18.01,17.25,83.79,79.77,69.63,71.51,79.58,72.72,15.16,20.38,27.11,28.6,27.74,28.82,12.26,16.36,19.95,22.09,23.47,22.68,26.1,31.81,38.7,37.34,34.73,40.59,0.8,3.7,17.96,19.73,22.54,20.21,2.43,2.89,3.06,2.16,2.1,1.95
2004,COLORADO,,,,14.87,17.88,20.5,19.32,24.09,22.07,1.5,4.07,5.69,9.56,1.82,2.4,10.8,11.84,14.93,18.38,18.12,16.43,80.92,80.54,81.97,86.23,80.98,71.57,18.65,20.06,23.66,26.48,27.4,28.09,14.94,16.3,20.11,23.79,23.54,21.63,28.03,29.58,36.53,35.51,34.39,36.91,6.27,5.83,9.41,22.23,21.09,17.97,2.69,2.95,3.02,2.12,1.84,2.16
2005,COLORADO,,,,16.98,20.6,22.14,25.67,23.4,21.71,2.86,0.97,4.1,0.31,4.49,2.15,9.45,10.61,13.54,15.31,17.32,17.69,82.61,75.81,75.04,65.21,70.55,73.29,15.78,19.32,23.88,29.04,29.64,29.0,12.62,14.47,18.51,20.62,22.67,23.11,27.65,29.93,36.45,39.68,41.63,37.69,2.98,5.8,9.14,20.27,20.23,23.26,2.67,3.0,2.2,2.42,2.0,1.66
2006,COLORADO,,,,15.56,20.89,22.47,24.36,20.9,22.1,1.53,1.34,3.12,3.98,6.32,1.69,10.07,12.18,13.54,15.34,18.32,18.11,72.19,70.19,68.09,70.95,82.78,78.51,19.02,23.53,25.87,27.35,27.23,28.03,12.95,16.74,18.23,20.68,23.75,23.5,30.3,36.05,38.02,38.62,34.91,35.37,0.72,11.52,13.25,18.96,22.26,19.5,3.27,2.95,2.92,2.04,1.81,1.8
2007,COLORADO,,,,15.59,17.29,19.77,21.52,17.63,20.87,5.8,3.06,5.05,3.55,9.29,4.65,10.78,11.01,14.59,17.73,18.69,19.25,82.08,81.66,82.12,82.91,88.95,85.02,17.8,18.25,23.39,26.56,26.14,27.48,14.39,14.83,19.88,23.17,24.08,24.55,27.29,28.04,31.2,33.98,31.96,35.11,0.43,1.29,14.66,19.78,22.32,22.6,2.86,2.72,2.36,2.02,1.83,1.66
2008,COLORADO,,,,16.11,20.23,21.16,24.88,23.29,19.93,1.95,1.78,1.01,1.73,2.51,4.11,9.46,10.86,13.74,15.68,16.01,17.46,77.46,69.93,68.36,63.85,68.65,74.23,16.57,20.97,25.9,29.72,28.81,28.58,12.18,14.25,18.52,21.11,21.44,22.87,28.54,32.34,37.84,38.94,38.85,37.44,-0.44,5.59,13.58,23.0,21.58,23.05,3.61,3.19,3.31,3.19,2.42,1.95
2009,COLORADO,,,,15.86,19.13,22.06,26.02,24.23,22.59,2.04,6.66,1.17,0.53,1.51,2.22,8.92,10.51,14.17,14.91,16.16,16.54,71.23,70.31,72.6,60.94,61.0,65.91,17.35,20.22,25.27,29.85,31.23,30.06,11.05,13.5,19.23,20.21,21.56,21.95,30.23,30.67,33.73,41.36,40.67,40.75,0.48,3.91,12.1,17.32,24.32,22.55,3.17,3.64,2.54,2.9,2.79,2.12
