-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2005 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MAX,2005,30.0,-100.0,24.18,25.88,26.98,33.88,36.08,37.74,39.85,36.23,40.5,33.82,29.03,25.91,40.5
T2M_MAX,2005,30.0,-100.625,24.0,25.97,27.8,34.88,38.02,38.86,41.1,37.65,40.99,34.65,29.73,25.76,41.1
T2M_MAX,2005,30.0,-101.25,24.75,27.75,29.47,36.58,39.65,40.09,42.53,38.64,41.91,35.79,30.87,28.6,42.53
T2M_MAX,2005,30.0,-101.875,26.38,28.54,30.42,37.24,41.66,41.84,43.93,38.88,42.32,37.29,31.66,30.18,43.93
T2M_MAX,2005,30.0,-102.5,26.19,28.88,30.31,36.39,42.07,41.03,43.99,38.9,40.96,37.1,32.13,29.29,43.99
T2M_MAX,2005,30.0,-94.375,22.94,24.6,27.02,29.19,37.38,37.93,39.52,37.57,38.91,32.5,30.14,26.54,39.52
T2M_MAX,2005,30.0,-95.0,23.43,25.23,27.43,29.29,38.2,38.99,40.2,38.04,39.11,34.25,30.86,27.68,40.2
T2M_MAX,2005,30.0,-95.625,24.26,25.65,27.82,29.05,37.58,40.2,40.94,37.9,39.23,34.98,31.11,28.25,40.94
T2M_MAX,2005,30.0,-96.25,24.13,25.47,27.43,31.07,36.86,40.84,41.71,37.4,41.06,36.39,31.23,28.53,41.71
T2M_MAX,2005,30.0,-96.875,24.06,25.68,27.36,33.04,36.95,40.78,41.92,38.38,42.35,36.87,31.11,28.71,42.35
T2M_MAX,2005,30.0,-97.5,24.34,26.32,27.46,33.5,37.22,40.68,42.03,39.35,42.53,36.76,31.12,28.07,42.53
T2M_MAX,2005,30.0,-98.125,24.28,26.41,27.07,34.81,37.06,39.91,41.4,38.48,42.11,35.75,31.06,28.84,42.11
T2M_MAX,2005,30.0,-98.75,23.25,25.52,26.11,33.21,36.27,38.76,40.51,37.54,41.38,34.64,29.89,26.92,41.38
T2M_MAX,2005,30.0,-99.375,23.74,25.85,26.68,32.86,35.64,37.83,39.7,36.46,40.66,34.01,29.55,25.84,40.66
T2M_MAX,2005,30.5,-100.0,25.11,26.35,26.58,34.0,36.32,38.15,40.28,36.16,40.94,34.34,29.29,26.79,40.94
T2M_MAX,2005,30.5,-100.625,23.57,26.38,26.58,34.14,37.64,38.16,40.6,36.48,40.83,34.45,29.34,26.11,40.83
T2M_MAX,2005,30.5,-101.25,23.42,27.34,27.65,35.19,39.07,38.92,41.38,37.13,41.13,34.85,30.07,28.25,41.38
