-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2005 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MIN,2005,30.0,-100.0,-3.18,-0.73,0.28,5.68,8.3,18.91,20.03,18.3,17.83,6.16,-1.1,-8.44,-8.44
T2M_MIN,2005,30.0,-100.625,-2.36,-1.21,-0.1,5.84,9.61,19.66,21.2,18.49,18.29,6.81,-2.02,-8.37,-8.37
T2M_MIN,2005,30.0,-101.25,-1.37,-1.7,0.95,5.64,10.98,20.63,22.15,20.07,19.47,7.74,-1.88,-7.62,-7.62
T2M_MIN,2005,30.0,-101.875,-1.13,-1.83,0.67,5.73,11.06,20.54,22.26,20.88,19.45,8.09,-0.35,-7.49,-7.49
T2M_MIN,2005,30.0,-102.5,-1.74,-2.13,-0.1,3.8,10.31,17.94,19.71,19.9,17.36,6.41,-0.46,-8.58,-8.58
T2M_MIN,2005,30.0,-94.375,-0.89,3.88,2.6,7.05,9.92,20.98,21.66,22.9,19.31,5.65,3.05,0.73,-0.89
T2M_MIN,2005,30.0,-95.0,-0.77,3.71,2.51,6.73,9.34,21.13,21.04,22.57,19.45,5.38,2.32,-0.18,-0.77
T2M_MIN,2005,30.0,-95.625,-1.36,3.03,2.27,5.84,8.66,20.01,20.24,22.62,19.98,5.08,1.81,-2.09,-2.09
T2M_MIN,2005,30.0,-96.25,-2.31,2.81,1.65,5.2,8.49,20.09,19.56,22.88,20.43,4.81,1.65,-3.31,-3.31
T2M_MIN,2005,30.0,-96.875,-2.61,2.34,2.27,4.6,8.44,19.63,19.98,22.45,20.99,4.25,1.4,-3.34,-3.34
T2M_MIN,2005,30.0,-97.5,-2.58,1.91,0.98,4.41,8.08,19.46,21.87,21.48,20.33,4.46,1.37,-2.7,-2.7
T2M_MIN,2005,30.0,-98.125,-2.93,0.96,0.72,4.51,7.89,19.26,21.57,20.48,19.5,4.54,0.79,-3.95,-3.95
T2M_MIN,2005,30.0,-98.75,-3.72,0.25,0.57,4.88,7.34,19.27,20.76,19.09,18.72,4.94,0.15,-5.66,-5.66
T2M_MIN,2005,30.0,-99.375,-3.57,-0.15,0.63,5.22,7.55,19.07,20.12,19.05,18.71,5.76,-0.02,-7.14,-7.14
T2M_MIN,2005,30.5,-100.0,-3.78,-2.22,-1.08,4.45,8.24,18.59,20.23,18.03,17.68,4.64,-0.93,-8.91,-8.91
