County,Soil_Clay_Pct,Soil_pH,Soil_Organic_Carbon
COLORADO,11.4,6.5,0.93
COCHRAN,8.1,8.1,0.75
MILAM,8.5,5.9,0.75
LIPSCOMB,14.0,8.2,0.75
DELTA,50.0,8.2,2.5
HUTCHINSON,3.0,7.2,0.1
DALLAM,8.0,7.2,0.6
WHARTON,20.6,5.5,3.03
ARMSTRONG,62.9,6.9,3.1
TOM GREEN,25.0,8.2,1.5
LIMESTONE,14.0,6.5,1.25
FALLS,68.0,7.8,1.75
JACKSON,50.0,6.3,4.0
LUBBOCK,16.1,7.5,0.9
RUNNELS,37.5,8.2,3.0
LAMB,16.1,7.5,0.9
PARMER,20.2,7.2,2.5
JOHNSON,15.0,6.7,1.25
BOSQUE,43.0,8.2,2.0
MOORE,25.0,8.2,1.0
CALDWELL,46.0,8.2,2.0
ERATH,14.0,6.7,0.75
CORYELL,29.0,8.2,5.0
DEAF SMITH,38.9,8.0,1.8
MCLENNAN,30.0,8.2,1.25
SHERMAN,25.0,8.0,1.8
TERRY,16.1,7.5,0.9
VICTORIA,50.0,6.7,4.0
LAVACA,37.5,7.9,2.5
HOCKLEY,16.1,7.5,0.9
DALLAS,4.9,6.2,1.0
WALLER,4.7,5.6,1.12
GRIMES,43.0,5.0,0.55
NUECES,51.3,8.1,2.0
WILLIAMSON,30.0,8.2,2.0
WISE,7.0,6.7,0.7
CROSBY,62.9,6.9,3.1
POTTER,27.0,7.2,1.5
CASTRO,33.9,8.0,1.5
HANSFORD,18.2,8.3,0.66
HAYS,26.0,8.2,6.0
FAYETTE,50.0,7.5,3.5
BEE,11.0,6.8,0.75
EASTLAND,5.0,6.7,1.0
GAINES,4.2,7.0,0.53
DONLEY,10.0,7.0,0.5
WASHINGTON,70.0,7.9,2.5
FRIO,15.0,6.7,0.65
ATASCOSA,28.0,7.0,2.0
KAUFMAN,52.0,8.2,1.3
FANNIN,54.0,7.9,3.0
CARSON,33.9,7.5,2.4
CHAMBERS,20.9,5.1,1.4
DENTON,14.0,7.0,0.75
GRAYSON,45.0,7.9,2.5
HAMILTON,34.0,8.2,3.0
BRISCOE,45.6,8.0,2.4
LYNN,16.1,7.5,0.9
GILLESPIE,52.0,7.6,4.5
TARRANT,8.0,6.4,0.75
ROCKWALL,54.0,7.9,3.0
REAGAN,24.0,8.0,7.0
UVALDE,50.0,7.5,6.5
OCHILTREE,29.0,7.4,2.0
LAMAR,11.5,5.5,1.05
WALKER,54.0,7.9,3.0
CAMERON,69.0,8.5,2.0
ELLIS,36.5,8.2,2.0
BELL,45.0,7.0,2.5
BURLESON,11.0,5.8,0.65
MCCULLOCH,38.0,8.2,3.0
MEDINA,51.0,7.8,2.2
RED RIVER,45.0,8.2,2.5
JEFFERSON,42.2,5.0,3.43
BROOKS,2.0,6.8,0.55
WILBARGER,32.0,7.6,2.0
SAN PATRICIO,26.6,6.1,0.75
FORT BEND,20.6,5.5,3.03
HOPKINS,14.0,6.5,1.25
HUNT,14.0,6.5,1.25
BRAZOS,9.5,5.5,1.25
GUADALUPE,42.5,7.9,2.0
REFUGIO,51.3,8.1,2.0
BOWIE,22.5,5.6,0.75
HOUSTON,35.0,5.5,0.55
GRAY,5.5,7.0,0.75
ROBERTS,10.0,7.9,0.55
COLEMAN,40.0,8.2,2.5
STARR,19.5,8.2,0.75
HIDALGO,18.0,8.2,1.0
DUVAL,21.0,7.0,2.5
FLOYD,59.9,6.9,3.1
JIM WELLS,33.0,7.2,0.3
BAILEY,16.1,7.5,0.9
HARRIS,4.9,6.8,1.32
HUDSPETH,14.0,7.2,0.75
CONCHO,38.0,8.2,3.0
KLEBERG,51.3,8.1,2.0
EL PASO,4.5,7.9,0.75
BEXAR,45.0,8.2,2.5
MATAGORDA,71.4,5.5,4.0
WILLACY,50.0,8.2,2.0
OLDHAM,14.0,8.2,0.75
COMANCHE,10.0,6.5,0.55
AUSTIN,12.5,6.7,1.25
CALHOUN,13.0,7.0,1.5
NAVARRO,50.0,8.2,2.5
HARTLEY,16.0,8.2,0.4
ZAVALA,31.0,7.9,1.9
TRAVIS,50.0,7.7,4.5
HILL,50.0,8.2,2.5
WHEELER,5.0,6.0,0.5
KARNES,11.0,6.8,0.75
SWISHER,38.9,8.0,1.8
LAMPASAS,28.0,7.9,2.0
CAMP,8.5,6.2,1.25
GOLIAD,16.0,8.2,2.0
GONZALES,31.0,8.2,2.0
BRAZORIA,48.6,7.9,1.7
LEE,11.5,6.5,1.25
ROBERTSON,6.0,6.5,0.75
GLASSCOCK,31.0,8.2,1.5
WILSON,7.0,6.5,0.75
LIVE OAK,16.0,8.2,2.0
BASTROP,11.0,6.7,0.55
COMAL,30.0,7.9,1.25
COLLIN,50.0,7.9,2.5
COOKE,27.5,7.0,1.25
HALE,35.0,7.5,2.5
DIMMIT,13.0,6.5,0.75
RANDALL,29.5,8.1,2.4
