Year,County,Yield_Lbs_Acre,PCT_PLANTED_April,PCT_PLANTED_June,PCT_PLANTED_May
2017,ARMSTRONG,602,13.0,97.0,52.0
2006,ARMSTRONG,240,24.0,95.0,73.0
2005,ARMSTRONG,517,21.0,94.0,70.0
2017,BRISCOE,554,13.0,97.0,52.0
2016,BRISCOE,579,11.0,98.0,44.0
2015,BRISCOE,624,9.0,97.0,46.0
2014,BRISCOE,418,15.0,99.0,49.0
2013,BRISCOE,435,14.0,95.0,49.0
2010,BRISCOE,494,15.0,93.0,73.0
2009,BRISCOE,416,19.0,93.0,74.0
2007,BRISCOE,554,20.0,95.0,55.0
2006,BRISCOE,308,24.0,95.0,73.0
2005,BRISCOE,533,21.0,94.0,70.0
2004,BRISCOE,462,21.0,89.0,74.0
2003,BRISCOE,215,20.0,87.0,57.0
2002,BRISCOE,181,18.0,87.0,66.0
2001,BRISCOE,237,17.0,89.0,64.0
2000,BRISCOE,175,18.0,86.0,65.0
2016,CARSON,866,11.0,98.0,44.0
2015,CARSON,653,9.0,97.0,46.0
2013,CARSON,469,14.0,95.0,49.0
2012,CARSON,383,25.0,95.0,64.0
2010,CARSON,641,15.0,93.0,73.0
2008,CARSON,480,21.0,94.0,56.0
2007,CARSON,728,20.0,95.0,55.0
2006,CARSON,313,24.0,95.0,73.0
2005,CARSON,575,21.0,94.0,70.0
2004,CARSON,407,21.0,89.0,74.0
2003,CARSON,377,20.0,87.0,57.0
2002,CARSON,420,18.0,87.0,66.0
2001,CARSON,434,17.0,89.0,64.0
2015,CASTRO,652,9.0,97.0,46.0
2012,CASTRO,213,25.0,95.0,64.0
2010,CASTRO,542,15.0,93.0,73.0
2009,CASTRO,408,19.0,93.0,74.0
2007,CASTRO,847,20.0,95.0,55.0
2006,CASTRO,549,24.0,95.0,73.0
2005,CASTRO,920,21.0,94.0,70.0
2004,CASTRO,667,21.0,89.0,74.0
2003,CASTRO,300,20.0,87.0,57.0
2002,CASTRO,240,18.0,87.0,66.0
2001,CASTRO,400,17.0,89.0,64.0
2000,CASTRO,326,18.0,86.0,65.0
2017,DEAF SMITH,699,13.0,97.0,52.0
2010,DEAF SMITH,573,15.0,93.0,73.0
2008,DEAF SMITH,549,21.0,94.0,56.0
2007,DEAF SMITH,768,20.0,95.0,55.0
2006,DEAF SMITH,434,24.0,95.0,73.0
2005,DEAF SMITH,761,21.0,94.0,70.0
2004,DEAF SMITH,529,21.0,89.0,74.0
2003,DEAF SMITH,240,20.0,87.0,57.0
2002,DEAF SMITH,240,18.0,87.0,66.0
2001,DEAF SMITH,394,17.0,89.0,64.0
2000,DEAF SMITH,293,18.0,86.0,65.0
2018,FLOYD,341,15.0,95.0,51.0
2017,FLOYD,738,13.0,97.0,52.0
2016,FLOYD,527,11.0,98.0,44.0
2015,FLOYD,476,9.0,97.0,46.0
2014,FLOYD,478,15.0,99.0,49.0
2013,FLOYD,345,14.0,95.0,49.0
2012,FLOYD,302,25.0,95.0,64.0
2010,FLOYD,604,15.0,93.0,73.0
2009,FLOYD,425,19.0,93.0,74.0
2008,FLOYD,361,21.0,94.0,56.0
2007,FLOYD,828,20.0,95.0,55.0
2006,FLOYD,200,24.0,95.0,73.0
2005,FLOYD,547,21.0,94.0,70.0
2004,FLOYD,635,21.0,89.0,74.0
2003,FLOYD,228,20.0,87.0,57.0
2002,FLOYD,279,18.0,87.0,66.0
2001,FLOYD,255,17.0,89.0,64.0
2000,FLOYD,220,18.0,86.0,65.0
2014,GRAY,382,15.0,99.0,49.0
2012,GRAY,284,25.0,95.0,64.0
2010,GRAY,501,15.0,93.0,73.0
2009,GRAY,591,19.0,93.0,74.0
2007,GRAY,738,20.0,95.0,55.0
2006,GRAY,378,24.0,95.0,73.0
2005,GRAY,665,21.0,94.0,70.0
2004,GRAY,672,21.0,89.0,74.0
2003,GRAY,326,20.0,87.0,57.0
2018,HALE,511,15.0,95.0,51.0
2017,HALE,649,13.0,97.0,52.0
2016,HALE,562,11.0,98.0,44.0
2014,HALE,320,15.0,99.0,49.0
2010,HALE,650,15.0,93.0,73.0
2009,HALE,392,19.0,93.0,74.0
2008,HALE,346,21.0,94.0,56.0
2007,HALE,640,20.0,95.0,55.0
2006,HALE,260,24.0,95.0,73.0
2005,HALE,614,21.0,94.0,70.0
2004,HALE,564,21.0,89.0,74.0
2003,HALE,281,20.0,87.0,57.0
2002,HALE,209,18.0,87.0,66.0
2001,HALE,416,17.0,89.0,64.0
2000,HALE,371,18.0,86.0,65.0
2007,HANSFORD,505,20.0,95.0,55.0
2002,HARTLEY,0,18.0,87.0,66.0
2001,HARTLEY,415,17.0,89.0,64.0
2000,HARTLEY,327,18.0,86.0,65.0
2007,HUTCHINSON,480,20.0,95.0,55.0
2017,MOORE,752,13.0,97.0,52.0
2012,MOORE,283,25.0,95.0,64.0
2010,MOORE,579,15.0,93.0,73.0
2009,MOORE,512,19.0,93.0,74.0
2008,MOORE,455,21.0,94.0,56.0
2007,MOORE,758,20.0,95.0,55.0
2006,MOORE,288,24.0,95.0,73.0
2005,MOORE,480,21.0,94.0,70.0
2018,OCHILTREE,745,15.0,95.0,51.0
2016,OCHILTREE,621,11.0,98.0,44.0
2010,OCHILTREE,640,15.0,93.0,73.0
2007,OCHILTREE,480,20.0,95.0,55.0
2006,OCHILTREE,702,24.0,95.0,73.0
2005,OCHILTREE,807,21.0,94.0,70.0
2018,PARMER,604,15.0,95.0,51.0
2016,PARMER,746,11.0,98.0,44.0
2015,PARMER,482,9.0,97.0,46.0
2014,PARMER,298,15.0,99.0,49.0
2012,PARMER,178,25.0,95.0,64.0
2010,PARMER,530,15.0,93.0,73.0
2009,PARMER,517,19.0,93.0,74.0
2007,PARMER,686,20.0,95.0,55.0
2005,PARMER,857,21.0,94.0,70.0
2004,PARMER,613,21.0,89.0,74.0
2003,PARMER,320,20.0,87.0,57.0
2002,PARMER,240,18.0,87.0,66.0
2001,PARMER,433,17.0,89.0,64.0
2000,PARMER,218,18.0,86.0,65.0
2017,RANDALL,825,13.0,97.0,52.0
2006,RANDALL,240,24.0,95.0,73.0
2005,RANDALL,533,21.0,94.0,70.0
2004,RANDALL,587,21.0,89.0,74.0
2002,RANDALL,384,18.0,87.0,66.0
2001,RANDALL,424,17.0,89.0,64.0
2017,SHERMAN,794,13.0,97.0,52.0
2016,SHERMAN,892,11.0,98.0,44.0
2007,SHERMAN,267,20.0,95.0,55.0
2018,SWISHER,306,15.0,95.0,51.0
2017,SWISHER,838,13.0,97.0,52.0
2015,SWISHER,743,9.0,97.0,46.0
2014,SWISHER,326,15.0,99.0,49.0
2013,SWISHER,199,14.0,95.0,49.0
2012,SWISHER,338,25.0,95.0,64.0
2010,SWISHER,644,15.0,93.0,73.0
2009,SWISHER,325,19.0,93.0,74.0
2008,SWISHER,496,21.0,94.0,56.0
2007,SWISHER,697,20.0,95.0,55.0
2006,SWISHER,186,24.0,95.0,73.0
2005,SWISHER,525,21.0,94.0,70.0
2004,SWISHER,613,21.0,89.0,74.0
2003,SWISHER,145,20.0,87.0,57.0
2002,SWISHER,132,18.0,87.0,66.0
2001,SWISHER,400,17.0,89.0,64.0
2000,SWISHER,182,18.0,86.0,65.0
2010,ANDREWS,250,15.0,93.0,73.0
2006,ANDREWS,196,24.0,95.0,73.0
2005,ANDREWS,674,21.0,94.0,70.0
2004,ANDREWS,507,21.0,89.0,74.0
2003,ANDREWS,210,20.0,87.0,57.0
2002,ANDREWS,128,18.0,87.0,66.0
2001,ANDREWS,107,17.0,89.0,64.0
2000,ANDREWS,149,18.0,86.0,65.0
2017,BAILEY,586,13.0,97.0,52.0
2016,BAILEY,584,11.0,98.0,44.0
2015,BAILEY,533,9.0,97.0,46.0
2014,BAILEY,280,15.0,99.0,49.0
2010,BAILEY,616,15.0,93.0,73.0
2009,BAILEY,243,19.0,93.0,74.0
2008,BAILEY,290,21.0,94.0,56.0
2007,BAILEY,462,20.0,95.0,55.0
2006,BAILEY,326,24.0,95.0,73.0
2005,BAILEY,553,21.0,94.0,70.0
2004,BAILEY,545,21.0,89.0,74.0
2003,BAILEY,202,20.0,87.0,57.0
2002,BAILEY,304,18.0,87.0,66.0
2001,BAILEY,240,17.0,89.0,64.0
2000,BAILEY,149,18.0,86.0,65.0
2018,COCHRAN,393,15.0,95.0,51.0
2010,COCHRAN,493,15.0,93.0,73.0
2009,COCHRAN,438,19.0,93.0,74.0
2008,COCHRAN,353,21.0,94.0,56.0
2007,COCHRAN,523,20.0,95.0,55.0
2006,COCHRAN,216,24.0,95.0,73.0
2005,COCHRAN,598,21.0,94.0,70.0
2004,COCHRAN,580,21.0,89.0,74.0
2003,COCHRAN,202,20.0,87.0,57.0
2002,COCHRAN,320,18.0,87.0,66.0
2001,COCHRAN,248,17.0,89.0,64.0
2000,COCHRAN,128,18.0,86.0,65.0
2018,CROSBY,212,15.0,95.0,51.0
2017,CROSBY,500,13.0,97.0,52.0
2016,CROSBY,483,11.0,98.0,44.0
2015,CROSBY,434,9.0,97.0,46.0
2014,CROSBY,382,15.0,99.0,49.0
2013,CROSBY,342,14.0,95.0,49.0
2012,CROSBY,317,25.0,95.0,64.0
2010,CROSBY,469,15.0,93.0,73.0
2009,CROSBY,342,19.0,93.0,74.0
2008,CROSBY,307,21.0,94.0,56.0
2007,CROSBY,641,20.0,95.0,55.0
2006,CROSBY,199,24.0,95.0,73.0
2005,CROSBY,510,21.0,94.0,70.0
2004,CROSBY,581,21.0,89.0,74.0
2003,CROSBY,175,20.0,87.0,57.0
2002,CROSBY,239,18.0,87.0,66.0
2001,CROSBY,161,17.0,89.0,64.0
2000,CROSBY,201,18.0,86.0,65.0
2018,DAWSON,482,15.0,95.0,51.0
2017,DAWSON,476,13.0,97.0,52.0
2016,DAWSON,440,11.0,98.0,44.0
