Year,County,Yield_Lbs_Acre,PCT_PLANTED_April,PCT_PLANTED_June,PCT_PLANTED_May
2017,ARMSTRONG,987,13.0,97.0,52.0
2006,ARMSTRONG,980,24.0,95.0,73.0
2005,ARMSTRONG,1063,21.0,94.0,70.0
2017,BRISCOE,1159,13.0,97.0,52.0
2016,BRISCOE,1182,11.0,98.0,44.0
2015,BRISCOE,1037,9.0,97.0,46.0
2014,BRISCOE,1041,15.0,99.0,49.0
2013,BRISCOE,1096,14.0,95.0,49.0
2010,BRISCOE,944,15.0,93.0,73.0
2009,BRISCOE,1045,19.0,93.0,74.0
2007,BRISCOE,1263,20.0,95.0,55.0
2006,BRISCOE,777,24.0,95.0,73.0
2005,BRISCOE,896,21.0,94.0,70.0
2004,BRISCOE,867,21.0,89.0,74.0
2003,BRISCOE,507,20.0,87.0,57.0
2002,BRISCOE,548,18.0,87.0,66.0
2001,BRISCOE,530,17.0,89.0,64.0
2000,BRISCOE,346,18.0,86.0,65.0
2016,CARSON,1481,11.0,98.0,44.0
2015,CARSON,1102,9.0,97.0,46.0
2013,CARSON,1258,14.0,95.0,49.0
2012,CARSON,1098,25.0,95.0,64.0
2010,CARSON,1204,15.0,93.0,73.0
2008,CARSON,1021,21.0,94.0,56.0
2007,CARSON,1355,20.0,95.0,55.0
2006,CARSON,861,24.0,95.0,73.0
2005,CARSON,1007,21.0,94.0,70.0
2004,CARSON,977,21.0,89.0,74.0
2003,CARSON,937,20.0,87.0,57.0
2002,CARSON,960,18.0,87.0,66.0
2001,CARSON,735,17.0,89.0,64.0
2015,CASTRO,1276,9.0,97.0,46.0
2012,CASTRO,906,25.0,95.0,64.0
2010,CASTRO,1147,15.0,93.0,73.0
2009,CASTRO,1058,19.0,93.0,74.0
2007,CASTRO,1254,20.0,95.0,55.0
2006,CASTRO,1080,24.0,95.0,73.0
2005,CASTRO,1098,21.0,94.0,70.0
2004,CASTRO,818,21.0,89.0,74.0
2003,CASTRO,951,20.0,87.0,57.0
2002,CASTRO,1086,18.0,87.0,66.0
2001,CASTRO,955,17.0,89.0,64.0
2000,CASTRO,722,18.0,86.0,65.0
2006,DALLAM,704,24.0,95.0,73.0
2017,DEAF SMITH,859,13.0,97.0,52.0
2010,DEAF SMITH,984,15.0,93.0,73.0
2008,DEAF SMITH,748,21.0,94.0,56.0
2007,DEAF SMITH,938,20.0,95.0,55.0
2006,DEAF SMITH,964,24.0,95.0,73.0
2005,DEAF SMITH,1085,21.0,94.0,70.0
2004,DEAF SMITH,867,21.0,89.0,74.0
2003,DEAF SMITH,736,20.0,87.0,57.0
2002,DEAF SMITH,908,18.0,87.0,66.0
2001,DEAF SMITH,772,17.0,89.0,64.0
2000,DEAF SMITH,529,18.0,86.0,65.0
2018,FLOYD,1124,15.0,95.0,51.0
2017,FLOYD,1096,13.0,97.0,52.0
2016,FLOYD,1251,11.0,98.0,44.0
2015,FLOYD,958,9.0,97.0,46.0
2014,FLOYD,1040,15.0,99.0,49.0
2013,FLOYD,1162,14.0,95.0,49.0
2012,FLOYD,1021,25.0,95.0,64.0
2010,FLOYD,1167,15.0,93.0,73.0
2009,FLOYD,1063,19.0,93.0,74.0
2008,FLOYD,1053,21.0,94.0,56.0
2007,FLOYD,1229,20.0,95.0,55.0
2006,FLOYD,903,24.0,95.0,73.0
2005,FLOYD,965,21.0,94.0,70.0
2004,FLOYD,806,21.0,89.0,74.0
2003,FLOYD,652,20.0,87.0,57.0
2002,FLOYD,647,18.0,87.0,66.0
2001,FLOYD,653,17.0,89.0,64.0
2000,FLOYD,462,18.0,86.0,65.0
2014,GRAY,1178,15.0,99.0,49.0
2012,GRAY,1002,25.0,95.0,64.0
2010,GRAY,1099,15.0,93.0,73.0
2009,GRAY,1315,19.0,93.0,74.0
2007,GRAY,1170,20.0,95.0,55.0
2006,GRAY,968,24.0,95.0,73.0
2005,GRAY,942,21.0,94.0,70.0
2004,GRAY,904,21.0,89.0,74.0
2003,GRAY,744,20.0,87.0,57.0
2018,HALE,983,15.0,95.0,51.0
2017,HALE,992,13.0,97.0,52.0
2016,HALE,1095,11.0,98.0,44.0
2014,HALE,911,15.0,99.0,49.0
2010,HALE,1099,15.0,93.0,73.0
2009,HALE,984,19.0,93.0,74.0
2008,HALE,1051,21.0,94.0,56.0
2007,HALE,1133,20.0,95.0,55.0
2006,HALE,940,24.0,95.0,73.0
2005,HALE,982,21.0,94.0,70.0
2004,HALE,892,21.0,89.0,74.0
2003,HALE,729,20.0,87.0,57.0
2002,HALE,842,18.0,87.0,66.0
2001,HALE,708,17.0,89.0,64.0
2000,HALE,577,18.0,86.0,65.0
2007,HANSFORD,1000,20.0,95.0,55.0
2015,HARTLEY,1182,9.0,97.0,46.0
2013,HARTLEY,1191,14.0,95.0,49.0
2002,HARTLEY,528,18.0,87.0,66.0
2001,HARTLEY,655,17.0,89.0,64.0
2000,HARTLEY,442,18.0,86.0,65.0
2013,HUTCHINSON,1285,14.0,95.0,49.0
2007,HUTCHINSON,1440,20.0,95.0,55.0
2006,HUTCHINSON,1248,24.0,95.0,73.0
2017,MOORE,1407,13.0,97.0,52.0
2012,MOORE,1071,25.0,95.0,64.0
2010,MOORE,1111,15.0,93.0,73.0
2009,MOORE,1016,19.0,93.0,74.0
2008,MOORE,829,21.0,94.0,56.0
2007,MOORE,1294,20.0,95.0,55.0
2006,MOORE,880,24.0,95.0,73.0
2005,MOORE,1112,21.0,94.0,70.0
2003,MOORE,831,20.0,87.0,57.0
2018,OCHILTREE,1360,15.0,95.0,51.0
2016,OCHILTREE,1417,11.0,98.0,44.0
2010,OCHILTREE,1129,15.0,93.0,73.0
2007,OCHILTREE,751,20.0,95.0,55.0
2006,OCHILTREE,750,24.0,95.0,73.0
2005,OCHILTREE,914,21.0,94.0,70.0
2018,PARMER,1320,15.0,95.0,51.0
2016,PARMER,1202,11.0,98.0,44.0
2015,PARMER,922,9.0,97.0,46.0
2014,PARMER,1000,15.0,99.0,49.0
2012,PARMER,791,25.0,95.0,64.0
2010,PARMER,1131,15.0,93.0,73.0
2009,PARMER,1106,19.0,93.0,74.0
2007,PARMER,1363,20.0,95.0,55.0
2005,PARMER,1177,21.0,94.0,70.0
2004,PARMER,952,21.0,89.0,74.0
2003,PARMER,866,20.0,87.0,57.0
2002,PARMER,1114,18.0,87.0,66.0
2001,PARMER,1043,17.0,89.0,64.0
2000,PARMER,734,18.0,86.0,65.0
2017,RANDALL,1287,13.0,97.0,52.0
2006,RANDALL,909,24.0,95.0,73.0
2005,RANDALL,923,21.0,94.0,70.0
2004,RANDALL,960,21.0,89.0,74.0
2002,RANDALL,773,18.0,87.0,66.0
2001,RANDALL,600,17.0,89.0,64.0
2017,SHERMAN,1189,13.0,97.0,52.0
2016,SHERMAN,1383,11.0,98.0,44.0
2007,SHERMAN,1180,20.0,95.0,55.0
2006,SHERMAN,1265,24.0,95.0,73.0
2004,SHERMAN,920,21.0,89.0,74.0
2018,SWISHER,1062,15.0,95.0,51.0
2017,SWISHER,1213,13.0,97.0,52.0
2015,SWISHER,984,9.0,97.0,46.0
2014,SWISHER,745,15.0,99.0,49.0
2013,SWISHER,1064,14.0,95.0,49.0
2012,SWISHER,707,25.0,95.0,64.0
2010,SWISHER,1085,15.0,93.0,73.0
2009,SWISHER,839,19.0,93.0,74.0
2008,SWISHER,899,21.0,94.0,56.0
2007,SWISHER,1184,20.0,95.0,55.0
2006,SWISHER,895,24.0,95.0,73.0
2005,SWISHER,882,21.0,94.0,70.0
2004,SWISHER,827,21.0,89.0,74.0
2003,SWISHER,824,20.0,87.0,57.0
2002,SWISHER,742,18.0,87.0,66.0
2001,SWISHER,780,17.0,89.0,64.0
2000,SWISHER,497,18.0,86.0,65.0
2010,ANDREWS,854,15.0,93.0,73.0
2006,ANDREWS,847,24.0,95.0,73.0
2005,ANDREWS,1331,21.0,94.0,70.0
2004,ANDREWS,862,21.0,89.0,74.0
2003,ANDREWS,896,20.0,87.0,57.0
2002,ANDREWS,815,18.0,87.0,66.0
2001,ANDREWS,585,17.0,89.0,64.0
2000,ANDREWS,623,18.0,86.0,65.0
2017,BAILEY,1084,13.0,97.0,52.0
2016,BAILEY,1140,11.0,98.0,44.0
2015,BAILEY,954,9.0,97.0,46.0
2014,BAILEY,1063,15.0,99.0,49.0
2010,BAILEY,925,15.0,93.0,73.0
2009,BAILEY,902,19.0,93.0,74.0
2008,BAILEY,770,21.0,94.0,56.0
2007,BAILEY,892,20.0,95.0,55.0
2006,BAILEY,936,24.0,95.0,73.0
2005,BAILEY,953,21.0,94.0,70.0
2004,BAILEY,903,21.0,89.0,74.0
