week_ending,short_desc,Value,year,state_alpha
2007-04-08,"CORN - PROGRESS, MEASURED IN PCT PLANTED",59,2007,TX
2007-04-15,"CORN - PROGRESS, MEASURED IN PCT PLANTED",67,2007,TX
2007-04-22,"CORN - PROGRESS, MEASURED IN PCT EMERGED",65,2007,TX
2007-04-22,"CORN - PROGRESS, MEASURED IN PCT PLANTED",68,2007,TX
2007-04-29,"CORN - PROGRESS, MEASURED IN PCT EMERGED",66,2007,TX
2007-04-29,"CORN - PROGRESS, MEASURED IN PCT PLANTED",70,2007,TX
2007-05-06,"CORN - PROGRESS, MEASURED IN PCT EMERGED",68,2007,TX
2007-05-06,"CORN - PROGRESS, MEASURED IN PCT PLANTED",82,2007,TX
2007-05-13,"CORN - PROGRESS, MEASURED IN PCT PLANTED",92,2007,TX
2007-05-13,"CORN - PROGRESS, MEASURED IN PCT EMERGED",72,2007,TX
2007-05-20,"CORN - PROGRESS, MEASURED IN PCT PLANTED",97,2007,TX
2007-05-20,"CORN - PROGRESS, MEASURED IN PCT EMERGED",79,2007,TX
2007-05-27,"CORN - PROGRESS, MEASURED IN PCT PLANTED",98,2007,TX
2007-05-27,"CORN - PROGRESS, MEASURED IN PCT EMERGED",90,2007,TX
2007-06-03,"CORN - PROGRESS, MEASURED IN PCT EMERGED",98,2007,TX
2007-06-10,"CORN - PROGRESS, MEASURED IN PCT EMERGED",99,2007,TX
2007-06-24,"CORN - PROGRESS, MEASURED IN PCT SILKING",59,2007,TX
2007-07-01,"CORN - PROGRESS, MEASURED IN PCT SILKING",61,2007,TX
2007-07-08,"CORN - PROGRESS, MEASURED IN PCT SILKING",63,2007,TX
2007-07-15,"CORN - PROGRESS, MEASURED IN PCT SILKING",75,2007,TX
2007-07-15,"CORN - PROGRESS, MEASURED IN PCT DOUGH",53,2007,TX
2007-07-22,"CORN - PROGRESS, MEASURED IN PCT SILKING",91,2007,TX
2007-07-22,"CORN - PROGRESS, MEASURED IN PCT DOUGH",60,2007,TX
2007-07-29,"CORN - PROGRESS, MEASURED IN PCT DOUGH",66,2007,TX
2007-07-29,"CORN - PROGRESS, MEASURED IN PCT SILKING",97,2007,TX
2007-07-29,"CORN - PROGRESS, MEASURED IN PCT DENTED",57,2007,TX
2007-08-05,"CORN - PROGRESS, MEASURED IN PCT DENTED",59,2007,TX
2007-08-05,"CORN - PROGRESS, MEASURED IN PCT SILKING",98,2007,TX
2007-08-05,"CORN - PROGRESS, MEASURED IN PCT DOUGH",70,2007,TX
2007-08-12,"CORN - PROGRESS, MEASURED IN PCT DENTED",65,2007,TX
2007-08-12,"CORN - PROGRESS, MEASURED IN PCT DOUGH",79,2007,TX
2007-08-19,"CORN - PROGRESS, MEASURED IN PCT DOUGH",86,2007,TX
2007-08-19,"CORN - PROGRESS, MEASURED IN PCT MATURE",59,2007,TX
2007-08-19,"CORN - PROGRESS, MEASURED IN PCT DENTED",79,2007,TX
2007-08-26,"CORN - PROGRESS, MEASURED IN PCT DENTED",87,2007,TX
2007-08-26,"CORN - PROGRESS, MEASURED IN PCT DOUGH",97,2007,TX
2007-08-26,"CORN - PROGRESS, MEASURED IN PCT MATURE",61,2007,TX
2007-09-02,"CORN - PROGRESS, MEASURED IN PCT DENTED",99,2007,TX
2007-09-02,"CORN - PROGRESS, MEASURED IN PCT DOUGH",100,2007,TX
2007-09-02,"CORN - PROGRESS, MEASURED IN PCT MATURE",75,2007,TX
2007-09-09,"CORN - PROGRESS, MEASURED IN PCT DENTED",100,2007,TX
2007-09-09,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",65,2007,TX
2007-09-09,"CORN - PROGRESS, MEASURED IN PCT MATURE",80,2007,TX
2007-09-16,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",70,2007,TX
2007-09-16,"CORN - PROGRESS, MEASURED IN PCT MATURE",85,2007,TX
2007-09-16,"CORN - PROGRESS, MEASURED IN PCT DENTED",100,2007,TX
2007-09-23,"CORN - PROGRESS, MEASURED IN PCT MATURE",95,2007,TX
2007-09-23,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",80,2007,TX
2007-09-30,"CORN - PROGRESS, MEASURED IN PCT MATURE",100,2007,TX
2007-09-30,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",90,2007,TX
2007-10-07,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",91,2007,TX
2007-10-07,"CORN - PROGRESS, MEASURED IN PCT MATURE",100,2007,TX
2007-10-14,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",92,2007,TX
2007-10-21,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",93,2007,TX
2007-10-28,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",97,2007,TX
2007-11-04,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",99,2007,TX
2007-11-11,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",100,2007,TX
2007-11-18,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",100,2007,TX
