Year,County,Yield_Bu_Acre,PCT_PLANTED_April,PCT_PLANTED_February,PCT_PLANTED_June,PCT_PLANTED_March,PCT_PLANTED_May
2019,OTHER (COMBINED) COUNTIES,177.7,65.0,65.0,100.0,51.0,93.0
2018,OTHER (COMBINED) COUNTIES,167.0,70.0,70.0,96.0,43.0,90.0
2017,OTHER (COMBINED) COUNTIES,198.6,71.0,71.0,100.0,45.0,96.0
2016,OTHER (COMBINED) COUNTIES,199.2,52.0,52.0,99.0,38.0,93.0
2015,OTHER (COMBINED) COUNTIES,202.7,56.0,2.0,100.0,20.0,83.0
2014,OTHER (COMBINED) COUNTIES,207.2,64.0,64.0,100.0,100.0,97.0
2013,OTHER (COMBINED) COUNTIES,210.2,69.0,69.0,98.0,98.0,95.0
2012,OTHER (COMBINED) COUNTIES,191.7,70.0,70.0,70.0,70.0,95.0
2011,OTHER (COMBINED) COUNTIES,142.0,66.0,66.0,100.0,100.0,98.0
2010,OTHER (COMBINED) COUNTIES,171.1,61.0,61.0,61.0,61.0,97.0
2009,OTHER (COMBINED) COUNTIES,206.4,74.0,74.0,100.0,100.0,98.0
2008,OTHER (COMBINED) COUNTIES,176.0,66.0,66.0,99.0,99.0,97.0
2007,OTHER (COMBINED) COUNTIES,170.0,70.0,70.0,70.0,70.0,98.0
2006,OTHER (COMBINED) COUNTIES,183.0,80.0,80.0,80.0,80.0,99.0
2005,OTHER (COMBINED) COUNTIES,176.4,72.0,72.0,72.0,72.0,95.0
2004,OTHER (COMBINED) COUNTIES,149.2,70.0,70.0,70.0,70.0,98.0
2003,OTHER (COMBINED) COUNTIES,133.3,73.0,73.0,100.0,100.0,99.0
2002,OTHER (COMBINED) COUNTIES,184.3,75.0,75.0,100.0,100.0,99.0
2001,OTHER (COMBINED) COUNTIES,154.4,69.0,69.0,69.0,69.0,98.0
2000,OTHER (COMBINED) COUNTIES,155.0,80.0,80.0,80.0,80.0,97.0
2017,ARMSTRONG,150.9,71.0,71.0,100.0,45.0,96.0
2016,ARMSTRONG,176.3,52.0,52.0,99.0,38.0,93.0
2015,ARMSTRONG,193.2,56.0,2.0,100.0,20.0,83.0
2014,ARMSTRONG,177.9,64.0,64.0,100.0,100.0,97.0
2013,ARMSTRONG,188.7,69.0,69.0,98.0,98.0,95.0
2007,ARMSTRONG,192.0,70.0,70.0,70.0,70.0,98.0
2017,BRISCOE,176.5,71.0,71.0,100.0,45.0,96.0
2016,BRISCOE,93.9,52.0,52.0,99.0,38.0,93.0
2015,BRISCOE,108.1,56.0,2.0,100.0,20.0,83.0
2010,BRISCOE,119.4,61.0,61.0,61.0,61.0,97.0
2009,BRISCOE,111.7,74.0,74.0,100.0,100.0,98.0
2007,BRISCOE,135.0,70.0,70.0,70.0,70.0,98.0
2006,BRISCOE,189.0,80.0,80.0,80.0,80.0,99.0
2005,BRISCOE,105.9,72.0,72.0,72.0,72.0,95.0
2004,BRISCOE,183.9,70.0,70.0,70.0,70.0,98.0
2025,CARSON,216.3,74.0,74.0,97.0,55.0,93.0
2024,CARSON,186.2,71.0,3.0,100.0,57.0,92.0
2021,CARSON,220.4,66.0,3.0,3.0,50.0,95.0
2019,CARSON,177.3,65.0,65.0,100.0,51.0,93.0
2017,CARSON,187.8,71.0,71.0,100.0,45.0,96.0
2016,CARSON,168.5,52.0,52.0,99.0,38.0,93.0
2015,CARSON,204.6,56.0,2.0,100.0,20.0,83.0
2013,CARSON,204.7,69.0,69.0,98.0,98.0,95.0
2012,CARSON,181.4,70.0,70.0,70.0,70.0,95.0
2011,CARSON,114.5,66.0,66.0,100.0,100.0,98.0
2010,CARSON,209.6,61.0,61.0,61.0,61.0,97.0
2009,CARSON,180.9,74.0,74.0,100.0,100.0,98.0
2008,CARSON,182.0,66.0,66.0,99.0,99.0,97.0
2007,CARSON,217.0,70.0,70.0,70.0,70.0,98.0
2006,CARSON,171.0,80.0,80.0,80.0,80.0,99.0
