Year,County,Yield_Value,Yield_Unit,PCT_PLANTED_April,PCT_PLANTED_July,PCT_PLANTED_June,PCT_PLANTED_March,PCT_PLANTED_May
2018,OTHER (COMBINED) COUNTIES,948,LB / ACRE,15.0,15.0,95.0,8.0,51.0
2011,OTHER (COMBINED) COUNTIES,867,LB / ACRE,14.0,14.0,94.0,94.0,65.0
2007,OTHER (COMBINED) COUNTIES,823,LB / ACRE,20.0,20.0,95.0,95.0,55.0
2006,OTHER (COMBINED) COUNTIES,907,LB / ACRE,24.0,24.0,95.0,95.0,73.0
2005,OTHER (COMBINED) COUNTIES,533,LB / ACRE,21.0,21.0,94.0,94.0,70.0
2004,OTHER (COMBINED) COUNTIES,768,LB / ACRE,21.0,21.0,89.0,89.0,74.0
2003,OTHER (COMBINED) COUNTIES,1000,LB / ACRE,20.0,20.0,87.0,87.0,57.0
2001,OTHER (COMBINED) COUNTIES,0,LB / ACRE,17.0,17.0,89.0,89.0,64.0
2000,OTHER (COMBINED) COUNTIES,192,LB / ACRE,18.0,18.0,86.0,86.0,65.0
2007,CULBERSON,880,LB / ACRE,20.0,20.0,95.0,95.0,55.0
2023,EL PASO,789,LB / ACRE,20.0,100.0,93.0,93.0,50.0
2022,EL PASO,1061,LB / ACRE,19.0,19.0,96.0,96.0,60.0
2011,EL PASO,1135,LB / ACRE,14.0,14.0,94.0,94.0,65.0
2010,EL PASO,956,LB / ACRE,15.0,15.0,93.0,93.0,73.0
2009,EL PASO,861,LB / ACRE,19.0,19.0,93.0,93.0,74.0
2008,EL PASO,781,LB / ACRE,21.0,21.0,94.0,94.0,56.0
2007,EL PASO,938,LB / ACRE,20.0,20.0,95.0,95.0,55.0
2006,EL PASO,670,LB / ACRE,24.0,24.0,95.0,95.0,73.0
2005,EL PASO,887,LB / ACRE,21.0,21.0,94.0,94.0,70.0
2004,EL PASO,897,LB / ACRE,21.0,21.0,89.0,89.0,74.0
2003,EL PASO,1063,LB / ACRE,20.0,20.0,87.0,87.0,57.0
2002,EL PASO,1120,LB / ACRE,18.0,18.0,87.0,8.0,66.0
2001,EL PASO,1067,LB / ACRE,17.0,17.0,89.0,89.0,64.0
2000,EL PASO,925,LB / ACRE,18.0,18.0,86.0,86.0,65.0
2010,HUDSPETH,788,LB / ACRE,15.0,15.0,93.0,93.0,73.0
2009,HUDSPETH,817,LB / ACRE,19.0,19.0,93.0,93.0,74.0
2008,HUDSPETH,737,LB / ACRE,21.0,21.0,94.0,94.0,56.0
2007,HUDSPETH,874,LB / ACRE,20.0,20.0,95.0,95.0,55.0
2006,HUDSPETH,886,LB / ACRE,24.0,24.0,95.0,95.0,73.0
2005,HUDSPETH,864,LB / ACRE,21.0,21.0,94.0,94.0,70.0
2004,HUDSPETH,864,LB / ACRE,21.0,21.0,89.0,89.0,74.0
2003,HUDSPETH,1037,LB / ACRE,20.0,20.0,87.0,87.0,57.0
2002,HUDSPETH,1071,LB / ACRE,18.0,18.0,87.0,8.0,66.0
2001,HUDSPETH,1024,LB / ACRE,17.0,17.0,89.0,89.0,64.0
2000,HUDSPETH,1200,LB / ACRE,18.0,18.0,86.0,86.0,65.0
2006,REEVES,600,LB / ACRE,24.0,24.0,95.0,95.0,73.0
2024,OTHER COUNTIES,816,LB / ACRE,18.0,100.0,96.0,5.0,50.0
2023,OTHER COUNTIES,483,LB / ACRE,20.0,100.0,93.0,93.0,50.0
2022,OTHER COUNTIES,638,LB / ACRE,19.0,19.0,96.0,96.0,60.0
2021,OTHER COUNTIES,780,LB / ACRE,17.0,17.0,96.0,6.0,54.0
2020,OTHER COUNTIES,666,LB / ACRE,18.0,18.0,95.0,5.0,63.0
2019,OTHER (COMBINED) COUNTIES,980,LB / ACRE,13.0,13.0,95.0,7.0,48.0
2018,OTHER (COMBINED) COUNTIES,862,LB / ACRE,15.0,15.0,95.0,8.0,51.0
2017,OTHER (COMBINED) COUNTIES,1009,LB / ACRE,13.0,13.0,97.0,3.0,52.0
2016,OTHER (COMBINED) COUNTIES,1270,LB / ACRE,11.0,11.0,98.0,2.0,44.0
2015,OTHER (COMBINED) COUNTIES,1036,LB / ACRE,9.0,100.0,97.0,0.0,46.0
2014,OTHER (COMBINED) COUNTIES,950,LB / ACRE,15.0,100.0,99.0,99.0,49.0
2013,OTHER (COMBINED) COUNTIES,982,LB / ACRE,14.0,14.0,95.0,95.0,49.0
2012,OTHER (COMBINED) COUNTIES,710,LB / ACRE,25.0,25.0,95.0,95.0,64.0
2011,OTHER (COMBINED) COUNTIES,558,LB / ACRE,14.0,14.0,94.0,94.0,65.0
2010,OTHER (COMBINED) COUNTIES,727,LB / ACRE,15.0,15.0,93.0,93.0,73.0
2009,OTHER (COMBINED) COUNTIES,747,LB / ACRE,19.0,19.0,93.0,93.0,74.0
2008,OTHER (COMBINED) COUNTIES,975,LB / ACRE,21.0,21.0,94.0,94.0,56.0
2007,OTHER (COMBINED) COUNTIES,1043,LB / ACRE,20.0,20.0,95.0,95.0,55.0
2006,OTHER (COMBINED) COUNTIES,768,LB / ACRE,24.0,24.0,95.0,95.0,73.0
2005,OTHER (COMBINED) COUNTIES,960,LB / ACRE,21.0,21.0,94.0,94.0,70.0
2004,OTHER (COMBINED) COUNTIES,800,LB / ACRE,21.0,21.0,89.0,89.0,74.0
2003,OTHER (COMBINED) COUNTIES,655,LB / ACRE,20.0,20.0,87.0,87.0,57.0
2002,OTHER (COMBINED) COUNTIES,640,LB / ACRE,18.0,18.0,87.0,8.0,66.0
2001,OTHER (COMBINED) COUNTIES,702,LB / ACRE,17.0,17.0,89.0,89.0,64.0
