Year,County,Yield_Value,Yield_Unit,PCT_PLANTED_April,PCT_PLANTED_July,PCT_PLANTED_June,PCT_PLANTED_March,PCT_PLANTED_May
2005,OTHER (COMBINED) COUNTIES,5170,LB / ACRE,78.0,78.0,78.0,78.0,100.0
2004,OTHER (COMBINED) COUNTIES,6430,LB / ACRE,85.0,85.0,85.0,85.0,100.0
2003,OTHER (COMBINED) COUNTIES,5770,LB / ACRE,86.0,86.0,100.0,37.0,100.0
2000,OTHER (COMBINED) COUNTIES,5830,LB / ACRE,91.0,91.0,91.0,91.0,99.0
2005,BOWIE,5200,LB / ACRE,78.0,78.0,78.0,78.0,100.0
2004,BOWIE,6760,LB / ACRE,85.0,85.0,85.0,85.0,100.0
2003,BOWIE,5500,LB / ACRE,86.0,86.0,100.0,37.0,100.0
2002,BOWIE,5380,LB / ACRE,95.0,95.0,95.0,45.0,100.0
2001,BOWIE,5800,LB / ACRE,89.0,89.0,89.0,89.0,100.0
2000,BOWIE,4550,LB / ACRE,91.0,91.0,91.0,91.0,99.0
2002,HOPKINS,6360,LB / ACRE,95.0,95.0,95.0,45.0,100.0
2001,HOPKINS,6330,LB / ACRE,89.0,89.0,89.0,89.0,100.0
2002,RED RIVER,6800,LB / ACRE,95.0,95.0,95.0,45.0,100.0
2001,RED RIVER,6800,LB / ACRE,89.0,89.0,89.0,89.0,100.0
2009,OTHER (COMBINED) COUNTIES,9070,LB / ACRE,92.0,92.0,100.0,100.0,99.0
2008,OTHER (COMBINED) COUNTIES,9170,LB / ACRE,92.0,92.0,92.0,92.0,100.0
2007,OTHER (COMBINED) COUNTIES,9000,LB / ACRE,79.0,79.0,79.0,79.0,98.0
2005,OTHER (COMBINED) COUNTIES,8000,LB / ACRE,78.0,78.0,78.0,78.0,100.0
2004,OTHER (COMBINED) COUNTIES,7880,LB / ACRE,85.0,85.0,85.0,85.0,100.0
2003,OTHER (COMBINED) COUNTIES,5380,LB / ACRE,86.0,86.0,100.0,37.0,100.0
2002,OTHER (COMBINED) COUNTIES,5830,LB / ACRE,95.0,95.0,95.0,45.0,100.0
2001,OTHER (COMBINED) COUNTIES,4500,LB / ACRE,89.0,89.0,89.0,89.0,100.0
2000,HARDIN,4450,LB / ACRE,91.0,91.0,91.0,91.0,99.0
2009,WALLER,10180,LB / ACRE,92.0,92.0,100.0,100.0,99.0
2008,WALLER,9210,LB / ACRE,92.0,92.0,92.0,92.0,100.0
2007,WALLER,9100,LB / ACRE,79.0,79.0,79.0,79.0,98.0
2005,WALLER,9220,LB / ACRE,78.0,78.0,78.0,78.0,100.0
2004,WALLER,9560,LB / ACRE,85.0,85.0,85.0,85.0,100.0
2003,WALLER,7430,LB / ACRE,86.0,86.0,100.0,37.0,100.0
2002,WALLER,8000,LB / ACRE,95.0,95.0,95.0,45.0,100.0
2001,WALLER,9000,LB / ACRE,89.0,89.0,89.0,89.0,100.0
2000,WALLER,7460,LB / ACRE,91.0,91.0,91.0,91.0,99.0
2019,OTHER (COMBINED) COUNTIES,7830,LB / ACRE,73.0,73.0,99.0,17.0,85.0
2018,OTHER (COMBINED) COUNTIES,7690,LB / ACRE,77.0,77.0,77.0,46.0,100.0
2017,OTHER (COMBINED) COUNTIES,7670,LB / ACRE,76.0,76.0,100.0,24.0,90.0
