Year,County,Yield_Bu_Acre,PCT_PLANTED_April,PCT_PLANTED_December,PCT_PLANTED_February,PCT_PLANTED_January,PCT_PLANTED_March,PCT_PLANTED_November,PCT_PLANTED_October,PCT_PLANTED_September
2007,ARMSTRONG,41.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,ARMSTRONG,19.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,ARMSTRONG,23.4,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,ARMSTRONG,28.3,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,ARMSTRONG,16.8,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,ARMSTRONG,19.2,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,ARMSTRONG,35.6,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,ARMSTRONG,20.6,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,BRISCOE,33.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,BRISCOE,14.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,BRISCOE,26.3,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,BRISCOE,20.6,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,BRISCOE,14.2,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,BRISCOE,18.9,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,BRISCOE,25.5,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,BRISCOE,15.0,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,CARSON,46.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,CARSON,16.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,CARSON,34.0,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,CARSON,27.9,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,CARSON,26.5,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,CARSON,15.8,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,CARSON,39.7,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,CARSON,17.5,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,CASTRO,45.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,CASTRO,38.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,CASTRO,42.6,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,CASTRO,46.1,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,CASTRO,54.4,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,CASTRO,41.5,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,CASTRO,41.8,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,CASTRO,33.0,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,DALLAM,50.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,DALLAM,34.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,DALLAM,48.7,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,DALLAM,39.9,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,DALLAM,39.1,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,DALLAM,50.2,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,DALLAM,50.7,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,DALLAM,41.1,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,DEAF SMITH,41.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,DEAF SMITH,27.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,DEAF SMITH,36.0,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,DEAF SMITH,32.0,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,DEAF SMITH,18.8,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,DEAF SMITH,27.3,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,DEAF SMITH,40.6,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,DEAF SMITH,22.6,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,FLOYD,36.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,FLOYD,14.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,FLOYD,26.6,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,FLOYD,26.3,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,FLOYD,14.7,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,FLOYD,17.9,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,FLOYD,25.3,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,FLOYD,13.3,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,GRAY,42.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,GRAY,13.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,GRAY,30.9,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,GRAY,27.8,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,GRAY,26.8,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,GRAY,17.8,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,GRAY,25.9,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,GRAY,15.5,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,HALE,45.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,HALE,30.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,HALE,30.6,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,HALE,29.5,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,HALE,36.0,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,HALE,30.2,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,HALE,41.3,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,HALE,27.9,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,HANSFORD,45.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,HANSFORD,21.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,HANSFORD,32.0,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,HANSFORD,27.6,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,HANSFORD,26.8,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,HANSFORD,25.6,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,HANSFORD,46.4,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,HANSFORD,28.7,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,HARTLEY,52.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,HARTLEY,23.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,HARTLEY,47.8,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,HARTLEY,50.6,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,HARTLEY,39.2,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,HARTLEY,47.3,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,HARTLEY,50.2,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,HARTLEY,39.6,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,HEMPHILL,31.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,HEMPHILL,27.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,HEMPHILL,25.5,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,HEMPHILL,25.2,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,HEMPHILL,25.8,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,HEMPHILL,10.9,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,HEMPHILL,29.5,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,HEMPHILL,21.3,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,HUTCHINSON,44.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,HUTCHINSON,24.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,HUTCHINSON,30.4,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,HUTCHINSON,19.6,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,HUTCHINSON,27.1,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,HUTCHINSON,20.3,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,HUTCHINSON,34.3,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,HUTCHINSON,31.1,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,LIPSCOMB,36.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,LIPSCOMB,29.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,LIPSCOMB,29.3,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,LIPSCOMB,26.4,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,LIPSCOMB,33.6,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,LIPSCOMB,10.6,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,LIPSCOMB,28.6,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,LIPSCOMB,29.9,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,MOORE,47.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,MOORE,28.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,MOORE,34.7,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,MOORE,30.7,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,MOORE,29.8,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,MOORE,47.4,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,MOORE,44.7,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,MOORE,41.4,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,OCHILTREE,49.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,OCHILTREE,21.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,OCHILTREE,36.5,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,OCHILTREE,24.9,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,OCHILTREE,25.7,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,OCHILTREE,17.2,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,OCHILTREE,34.6,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,OCHILTREE,25.1,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,OLDHAM,29.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,OLDHAM,18.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,OLDHAM,27.5,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,OLDHAM,21.9,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,OLDHAM,14.4,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,OLDHAM,16.0,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,OLDHAM,30.1,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,OLDHAM,15.5,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,PARMER,46.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,PARMER,29.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,PARMER,44.7,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,PARMER,34.3,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,PARMER,38.1,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,PARMER,23.8,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,PARMER,41.6,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,PARMER,18.8,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,POTTER,32.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,POTTER,19.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,POTTER,28.9,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,POTTER,22.2,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,POTTER,18.4,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,POTTER,13.7,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,POTTER,34.1,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,POTTER,26.6,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,RANDALL,39.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,RANDALL,25.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,RANDALL,23.3,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,RANDALL,20.0,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,RANDALL,15.0,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,RANDALL,22.2,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,RANDALL,33.9,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,RANDALL,19.1,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,ROBERTS,38.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,ROBERTS,17.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,ROBERTS,25.0,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,ROBERTS,28.9,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,ROBERTS,23.5,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,ROBERTS,30.4,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,ROBERTS,24.0,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,ROBERTS,20.9,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,SHERMAN,45.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,SHERMAN,30.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,SHERMAN,35.3,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,SHERMAN,49.3,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,SHERMAN,44.9,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,SHERMAN,43.6,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,SHERMAN,49.4,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,SHERMAN,46.5,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,SWISHER,45.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,SWISHER,21.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,SWISHER,31.7,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,SWISHER,28.4,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,SWISHER,26.1,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,SWISHER,21.8,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,SWISHER,35.5,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,SWISHER,19.1,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,OTHER (COMBINED) COUNTIES,25.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,ANDREWS,23.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,ANDREWS,27.2,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,ANDREWS,32.1,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,ANDREWS,13.5,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,ANDREWS,30.0,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,ANDREWS,24.6,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,ANDREWS,26.0,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
