-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2005 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2005,30.0,-100.0,1.2,1.85,1.81,0.34,3.94,0.49,2.25,2.45,0.59,3.21,0.32,0.13,1.56
PRECTOTCORR,2005,30.0,-100.625,0.7,1.5,1.4,0.2,3.05,0.54,1.8,2.15,0.2,3.98,0.17,0.21,1.34
PRECTOTCORR,2005,30.0,-101.25,0.48,1.13,0.84,0.1,2.23,0.75,1.35,1.72,0.09,3.08,0.07,0.17,1.01
PRECTOTCORR,2005,30.0,-101.875,0.47,1.16,0.93,0.11,2.15,0.64,1.26,1.87,0.08,3.29,0.09,0.19,1.03
PRECTOTCORR,2005,30.0,-102.5,0.46,1.02,0.48,0.07,2.01,0.92,1.25,1.63,0.15,2.23,0.01,0.18,0.87
PRECTOTCORR,2005,30.0,-94.375,2.47,4.9,2.35,1.2,2.68,0.73,4.84,2.43,4.52,1.53,2.29,2.62,2.7
PRECTOTCORR,2005,30.0,-95.0,2.29,4.91,2.41,1.23,2.88,0.51,4.61,2.34,2.98,1.68,2.23,2.65,2.55
PRECTOTCORR,2005,30.0,-95.625,2.32,4.91,2.46,1.2,3.02,0.44,4.54,2.44,2.28,1.83,2.07,2.54,2.5
PRECTOTCORR,2005,30.0,-96.25,2.66,4.25,2.55,0.98,3.22,0.25,3.83,2.43,1.1,2.19,1.49,1.77,2.22
PRECTOTCORR,2005,30.0,-96.875,2.65,3.13,2.59,0.69,3.63,0.13,3.03,2.1,0.85,2.29,0.75,0.76,1.89
PRECTOTCORR,2005,30.0,-97.5,2.11,2.52,2.67,0.64,3.42,0.14,2.4,1.8,1.01,1.88,0.48,0.26,1.61
PRECTOTCORR,2005,30.0,-98.125,1.86,2.34,2.49,0.59,3.37,0.2,2.01,1.99,0.92,1.53,0.57,0.12,1.5
PRECTOTCORR,2005,30.0,-98.75,1.86,2.32,2.39,0.6,3.28,0.16,2.05,1.94,1.07,1.63,0.52,0.14,1.5
PRECTOTCORR,2005,30.0,-99.375,1.65,2.09,2.14,0.47,3.76,0.31,2.08,2.35,0.99,1.95,0.52,0.06,1.54
PRECTOTCORR,2005,30.5,-100.0,1.1,1.8,1.75,0.29,3.97,1.0,2.16,2.63,0.5,2.95,0.14,0.17,1.55
PRECTOTCORR,2005,30.5,-100.625,0.66,1.53,1.32,0.21,3.24,1.05,1.84,2.4,0.37,3.93,0.08,0.19,1.41
PRECTOTCORR,2005,30.5,-101.25,0.44,1.38,0.83,0.1,2.48,1.29,1.82,2.07,0.22,3.52,0.04,0.14,1.2
PRECTOTCORR,2005,30.5,-101.875,0.41,1.37,0.88,0.12,2.53,1.16,1.72,2.12,0.18,3.48,0.03,0.14,1.19
PRECTOTCORR,2005,30.5,-102.5,0.41,1.37,0.48,0.05,2.41,1.4,1.75,1.86,0.36,2.91,0.0,0.14,1.1
PRECTOTCORR,2005,30.5,-94.375,2.64,5.42,2.36,1.47,2.52,0.85,4.16,2.8,4.53,1.46,2.12,2.62,2.73
PRECTOTCORR,2005,30.5,-95.0,2.59,5.36,2.48,1.61,2.57,0.64,3.85,2.72,3.04,1.62,1.84,2.42,2.55
PRECTOTCORR,2005,30.5,-95.625,2.66,5.21,2.59,1.55,2.52,0.54,3.7,2.82,2.21,1.75,1.63,2.14,2.43
PRECTOTCORR,2005,30.5,-96.25,2.85,4.27,2.58,1.04,2.64,0.25,3.12,3.17,1.01,1.95,1.06,1.28,2.1
PRECTOTCORR,2005,30.5,-96.875,2.6,3.01,2.33,0.61,3.28,0.14,2.65,3.44,0.7,1.84,0.57,0.52,1.81
PRECTOTCORR,2005,30.5,-97.5,2.01,2.31,2.38,0.68,3.43,0.22,2.39,2.82,0.91,1.54,0.55,0.14,1.62
PRECTOTCORR,2005,30.5,-98.125,1.74,2.13,2.48,0.65,3.78,0.4,2.22,2.24,0.66,1.25,0.49,0.07,1.51
PRECTOTCORR,2005,30.5,-98.75,1.78,2.13,2.38,0.67,3.57,0.33,2.24,2.51,0.82,1.34,0.57,0.06,1.54
PRECTOTCORR,2005,30.5,-99.375,1.52,2.02,2.2,0.46,4.08,0.69,2.29,2.48,0.54,1.63,0.33,0.08,1.53
PRECTOTCORR,2005,31.0,-100.0,0.92,1.94,1.65,0.18,4.02,1.21,2.05,3.47,0.46,2.8,0.03,0.17,1.58
PRECTOTCORR,2005,31.0,-100.625,0.59,1.69,1.31,0.15,3.41,1.41,2.17,3.12,0.43,4.0,0.02,0.13,1.55
PRECTOTCORR,2005,31.0,-101.25,0.42,1.68,0.8,0.09,2.59,1.97,2.4,2.79,0.26,3.99,0.01,0.08,1.43
PRECTOTCORR,2005,31.0,-101.875,0.39,1.73,0.84,0.1,2.81,1.77,2.55,2.85,0.23,4.0,0.0,0.07,1.45
PRECTOTCORR,2005,31.0,-102.5,0.39,1.72,0.46,0.04,2.46,2.03,2.33,2.49,0.44,3.52,0.0,0.07,1.33
PRECTOTCORR,2005,31.0,-94.375,2.85,5.48,2.62,1.7,2.2,1.11,3.4,2.94,4.62,1.3,1.75,2.12,2.66
PRECTOTCORR,2005,31.0,-95.0,2.89,5.28,2.76,1.81,2.29,0.84,3.26,3.04,3.24,1.41,1.36,1.68,2.47
PRECTOTCORR,2005,31.0,-95.625,2.91,5.02,2.83,1.66,2.3,0.64,3.16,3.37,2.36,1.54,1.13,1.3,2.34
