-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2005 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS     MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,2005,30.0,-100.0,10.78,11.05,14.25,19.65,23.28,28.72,29.79,27.44,28.82,19.55,14.76,8.17,19.72
TS,2005,30.0,-100.625,10.84,11.32,14.75,20.38,24.51,29.82,30.81,28.27,30.1,19.99,14.73,8.12,20.34
TS,2005,30.0,-101.25,11.15,12.07,15.94,21.74,26.59,31.02,32.32,29.44,31.4,21.14,14.87,8.66,21.4
TS,2005,30.0,-101.875,11.12,11.86,15.69,21.48,27.53,31.61,32.83,29.43,31.57,21.23,14.54,8.89,21.52
TS,2005,30.0,-102.5,10.99,11.29,15.4,21.46,27.58,30.96,32.16,29.17,30.65,20.8,14.18,9.74,21.25
TS,2005,30.0,-94.375,12.18,13.27,15.07,19.17,24.98,30.13,29.88,29.83,28.92,21.66,17.48,11.06,21.17
TS,2005,30.0,-95.0,11.96,13.24,15.14,19.07,24.71,30.36,30.15,29.72,29.04,21.97,17.33,10.77,21.16
TS,2005,30.0,-95.625,11.62,13.12,15.09,18.68,24.17,30.5,30.39,29.58,29.31,21.99,17.05,10.19,21.01
TS,2005,30.0,-96.25,11.3,12.89,14.9,18.7,24.35,31.19,31.14,29.8,30.28,22.27,17.02,10.04,21.19
TS,2005,30.0,-96.875,11.15,12.67,14.9,19.26,24.56,31.32,31.54,30.07,31.04,21.98,17.1,10.06,21.34
TS,2005,30.0,-97.5,11.15,12.41,14.83,19.28,24.6,31.18,31.81,30.49,31.15,22.12,17.47,10.37,21.44
TS,2005,30.0,-98.125,10.94,11.84,14.54,20.17,24.77,30.83,31.56,29.9,30.71,21.76,17.38,10.25,21.26
TS,2005,30.0,-98.75,10.4,11.09,13.9,19.11,23.98,29.81,30.72,29.03,29.67,20.98,16.41,9.45,20.42
TS,2005,30.0,-99.375,10.72,11.11,14.12,19.17,23.17,28.91,30.01,28.04,28.8,20.28,15.64,8.71,19.93
TS,2005,30.5,-100.0,10.38,10.63,13.8,19.36,23.19,28.47,29.99,27.5,28.74,19.13,14.32,7.82,19.48
TS,2005,30.5,-100.625,10.09,10.48,13.77,19.38,23.68,28.88,30.24,27.79,29.22,19.08,13.91,7.31,19.52
TS,2005,30.5,-101.25,10.07,10.7,14.4,20.0,25.17,29.41,30.66,28.43,30.05,19.76,13.65,7.26,20.0
TS,2005,30.5,-101.875,9.95,10.49,14.21,19.87,25.79,29.63,30.91,28.41,30.02,19.79,13.26,7.58,20.04
TS,2005,30.5,-102.5,9.69,9.93,13.68,19.22,25.66,28.7,29.88,27.6,28.66,19.13,12.7,8.01,19.45
TS,2005,30.5,-94.375,11.03,12.35,14.1,18.4,24.06,29.29,29.45,29.29,28.29,20.22,16.38,9.68,20.24
TS,2005,30.5,-95.0,10.96,12.38,14.24,18.34,23.84,29.4,29.64,29.2,28.36,20.57,16.31,9.57,20.27
TS,2005,30.5,-95.625,10.78,12.29,14.22,18.09,23.59,30.06,30.32,29.36,29.01,21.1,16.24,9.32,20.4
TS,2005,30.5,-96.25,10.65,12.22,14.18,18.22,24.17,31.53,31.58,29.63,30.25,21.88,16.46,9.42,20.88
TS,2005,30.5,-96.875,10.67,12.09,14.27,18.58,24.13,31.19,31.77,29.58,30.49,21.81,16.69,9.46,20.93
TS,2005,30.5,-97.5,10.77,11.81,14.26,18.92,23.99,30.79,31.33,29.62,30.47,21.77,16.83,9.66,20.89
TS,2005,30.5,-98.125,10.6,11.31,13.94,19.61,24.17,30.18,31.23,29.59,30.58,21.54,16.88,9.7,20.82
TS,2005,30.5,-98.75,10.17,10.81,13.53,18.9,23.79,29.54,30.86,28.87,29.64,20.92,16.03,9.13,20.22
TS,2005,30.5,-99.375,10.45,10.82,13.82,19.13,23.14,28.69,30.07,28.08,29.06,20.06,15.28,8.5,19.8
TS,2005,31.0,-100.0,9.96,10.19,13.39,19.09,23.25,28.38,30.34,27.27,28.53,18.93,13.98,7.36,19.26
TS,2005,31.0,-100.625,9.56,9.82,13.12,18.8,23.23,28.35,29.94,27.21,28.4,18.57,13.32,6.76,18.96
TS,2005,31.0,-101.25,9.23,9.57,13.25,19.16,24.33,28.35,29.68,27.44,28.59,18.61,12.76,6.49,19.0
TS,2005,31.0,-101.875,9.16,9.5,13.11,19.05,24.96,28.64,29.85,27.62,28.64,18.68,12.33,6.68,19.06
TS,2005,31.0,-102.5,9.81,9.89,13.7,19.11,25.78,29.34,30.37,28.4,28.9,19.54,12.91,7.56,19.66
TS,2005,31.0,-94.375,10.48,11.91,13.72,18.09,23.44,29.34,29.85,29.56,28.33,19.98,15.98,9.06,20.01
TS,2005,31.0,-95.0,10.26,11.73,13.55,17.84,23.12,29.59,30.06,29.46,28.49,20.12,15.81,8.94,19.95
TS,2005,31.0,-95.625,10.11,11.63,13.52,17.74,23.37,30.96,31.21,29.7,29.52,20.94,15.88,8.86,20.32
TS,2005,31.0,-96.25,9.98,11.5,13.45,17.82,23.95,31.72,31.98,29.4,29.85,21.58,16.05,8.9,20.55
TS,2005,31.0,-96.875,10.21,11.5,13.71,18.32,23.87,30.88,31.81,29.13,29.68,21.44,16.26,8.89,20.51
TS,2005,31.0,-97.5,10.4,11.32,13.76,18.79,23.55,30.17,30.96,28.82,29.64,21.13,16.11,8.77,20.32
TS,2005,31.0,-98.125,10.19,10.87,13.54,18.92,23.38,29.33,30.83,28.83,29.75,20.91,16.03,8.76,20.15
TS,2005,31.0,-98.75,10.12,10.75,13.56,18.86,23.53,29.36,31.07,28.88,29.53,20.95,15.67,8.6,20.11
TS,2005,31.0,-99.375,10.19,10.59,13.65,19.21,23.33,28.72,30.62,28.1,29.26,20.05,15.08,8.16,19.79
TS,2005,31.5,-100.0,9.7,10.08,13.27,18.87,23.43,28.7,30.8,27.59,28.51,19.16,13.8,7.02,19.28
TS,2005,31.5,-100.625,9.35,9.68,13.0,18.75,23.41,28.64,30.16,27.11,28.18,18.56,13.09,6.57,18.91
TS,2005,31.5,-101.25,8.79,9.07,12.75,18.89,24.07,28.71,29.8,27.31,27.83,18.25,12.51,6.38,18.74
TS,2005,31.5,-101.875,8.54,8.75,12.27,18.23,24.04,28.51,29.44,27.08,27.47,18.05,11.86,6.13,18.41
TS,2005,31.5,-102.5,9.35,9.5,13.45,19.01,24.99,29.7,30.38,28.46,28.42,19.13,12.42,6.71,19.34
TS,2005,31.5,-94.375,9.8,11.29,13.16,17.59,22.63,28.95,29.79,29.6,28.06,19.35,15.43,8.44,19.54
TS,2005,31.5,-95.0,9.61,11.07,12.89,17.32,22.47,29.29,29.95,29.43,28.19,19.47,15.36,8.4,19.49
TS,2005,31.5,-95.625,9.52,10.98,12.89,17.36,23.07,30.96,31.19,29.81,29.35,20.5,15.55,8.36,20.0
TS,2005,31.5,-96.25,9.47,10.94,12.93,17.56,23.77,31.48,31.91,29.61,29.48,21.37,15.77,8.35,20.26
TS,2005,31.5,-96.875,9.65,10.9,13.11,17.87,23.46,30.4,31.72,29.35,29.36,21.19,15.81,8.31,20.13
TS,2005,31.5,-97.5,9.87,10.81,13.31,18.53,23.4,29.88,31.17,28.88,29.45,20.88,15.65,8.14,20.04
TS,2005,31.5,-98.125,9.67,10.45,13.15,18.61,23.2,29.28,31.09,28.5,29.27,20.47,15.46,8.05,19.81
TS,2005,31.5,-98.75,9.46,10.19,13.01,18.31,23.0,28.84,31.01,28.57,29.05,20.41,15.02,7.71,19.59
TS,2005,31.5,-99.375,9.73,10.27,13.33,18.85,23.36,28.87,31.15,28.18,28.97,19.97,14.6,7.48,19.6
TS,2005,32.0,-100.0,8.84,9.41,12.62,18.09,22.84,28.48,30.37,27.21,27.85,18.63,12.99,6.33,18.68
TS,2005,32.0,-100.625,8.68,9.15,12.58,18.2,23.03,28.64,30.02,26.71,27.58,18.14,12.44,6.08,18.48
TS,2005,32.0,-101.25,8.34,8.62,12.34,18.29,23.62,29.03,29.97,27.15,27.58,17.98,12.12,6.04,18.47
TS,2005,32.0,-101.875,8.18,8.36,12.1,17.78,23.43,28.75,29.68,26.79,27.23,17.76,11.6,5.85,18.17
TS,2005,32.0,-102.5,8.25,8.46,12.4,17.89,23.57,29.14,29.78,27.52,27.39,17.96,11.45,5.8,18.35
TS,2005,32.0,-94.375,9.1,10.63,12.62,17.08,22.19,29.0,29.81,30.0,28.03,18.8,14.98,7.76,19.2
TS,2005,32.0,-95.0,8.98,10.53,12.51,17.19,22.9,30.26,30.46,30.43,28.64,19.36,15.08,7.73,19.54
TS,2005,32.0,-95.625,9.04,10.56,12.53,17.25,23.23,31.11,31.07,30.48,29.3,20.25,15.29,7.79,19.86
TS,2005,32.0,-96.25,9.16,10.71,12.78,17.59,23.6,31.25,31.67,30.58,29.78,21.3,15.53,7.84,20.19
