year,county_name,Value
2013,OTHER (COMBINED) COUNTIES,210.2
2013,ARMSTRONG,188.7
2013,CARSON,204.7
2013,CASTRO,216.7
2013,DEAF SMITH,198.5
2013,FLOYD,195.3
2013,HALE,182.2
2013,HARTLEY,222.8
2013,HUTCHINSON,205.3
2013,MOORE,220.5
2013,OCHILTREE,201.9
2013,PARMER,179.1
2013,RANDALL,143.0
2013,SHERMAN,206.5
2013,SWISHER,162.2
2013,OTHER (COMBINED) COUNTIES,157.5
2013,HOCKLEY,154.0
2013,LAMB,190.4
2013,OTHER (COMBINED) COUNTIES,169.4
2013,DONLEY,221.0
2013,OTHER (COMBINED) COUNTIES,102.7
2013,BELL,94.6
2013,COLLIN,91.0
2013,DENTON,52.2
2013,ELLIS,86.2
2013,FALLS,94.8
2013,GRAYSON,92.1
2013,HILL,97.2
2013,HUNT,102.3
2013,JOHNSON,85.1
2013,LAMAR,133.2
2013,LIMESTONE,82.0
2013,MCLENNAN,89.2
2013,MILAM,91.8
2013,NAVARRO,92.3
2013,WILLIAMSON,80.8
2013,OTHER (COMBINED) COUNTIES,100.4
2013,ROBERTSON,114.2
2013,WALLER,99.4
2013,OTHER (COMBINED) COUNTIES,105.8
2013,GILLESPIE,44.2
2013,TOM GREEN,175.0
2013,UVALDE,131.1
2013,OTHER (COMBINED) COUNTIES,51.9
2013,AUSTIN,91.2
2013,BEXAR,87.2
2013,BURLESON,92.2
2013,CALDWELL,74.2
2013,COLORADO,82.7
2013,DE WITT,68.0
2013,FAYETTE,53.6
2013,GONZALES,84.0
2013,GUADALUPE,64.5
2013,LAVACA,65.6
2013,LEE,58.9
2013,MEDINA,117.1
2013,TRAVIS,54.3
2013,WILSON,92.2
2013,OTHER (COMBINED) COUNTIES,69.8
2013,NUECES,35.5
2013,SAN PATRICIO,41.3
2013,OTHER (COMBINED) COUNTIES,99.3
2013,CALHOUN,88.3
2013,FORT BEND,97.1
2013,JACKSON,77.1
2013,MATAGORDA,89.9
2013,VICTORIA,80.8
2013,WHARTON,94.7
2013,OTHER (COMBINED) COUNTIES,119.1
2013,ATASCOSA,83.9
2013,FRIO,134.9
2013,LIVE OAK,55.0
2013,OTHER (COMBINED) COUNTIES,92.2
2013,OTHER (COMBINED) COUNTIES,131.4
2013,LAMAR,148.2
2013,OTHER (COMBINED) COUNTIES,120.1
2013,OTHER (COMBINED) COUNTIES,154.0
2013,UVALDE,149.8
2013,OTHER (COMBINED) COUNTIES,138.0
2013,BURLESON,144.7
2013,WILSON,116.1
2013,OTHER (COMBINED) COUNTIES,112.5
2013,WHARTON,124.7
2013,OTHER (COMBINED) COUNTIES,142.0
2013,OTHER (COMBINED) COUNTIES,90.1
2013,DENTON,52.2
2013,ELLIS,86.2
2013,GRAYSON,92.1
2013,HUNT,102.3
2013,JOHNSON,85.1
2013,LAMAR,129.9
2013,NAVARRO,92.3
2013,OTHER (COMBINED) COUNTIES,90.1
2013,OTHER (COMBINED) COUNTIES,65.8
2013,GILLESPIE,44.2
2013,UVALDE,55.0
2013,OTHER (COMBINED) COUNTIES,63.3
2013,BURLESON,62.8
2013,CALDWELL,74.2
2013,DE WITT,68.0
2013,FAYETTE,53.6
2013,LAVACA,65.6
2013,LEE,58.9
2013,TRAVIS,54.3
2013,WILSON,76.9
2013,OTHER (COMBINED) COUNTIES,83.5
2013,WHARTON,91.6
2013,OTHER (COMBINED) COUNTIES,45.3
