,year,state_alpha,county_name,Value,reference_period_desc
0,2022,TX,DALLAM,128.7,YEAR
1,2022,TX,DEAF SMITH,168,YEAR
2,2022,TX,GRAY,165,YEAR
3,2022,TX,HALE,114.3,YEAR
4,2022,TX,HUTCHINSON,177.5,YEAR
5,2022,TX,MOORE,145.8,YEAR
6,2022,TX,OCHILTREE,183.5,YEAR
7,2022,TX,PARMER,89.6,YEAR
8,2022,TX,SHERMAN,173.6,YEAR
9,2022,TX,BELL,59.2,YEAR
10,2022,TX,COLLIN,61.1,YEAR
11,2022,TX,COOKE,64.1,YEAR
12,2022,TX,CORYELL,35,YEAR
13,2022,TX,ELLIS,59.7,YEAR
14,2022,TX,FALLS,73.4,YEAR
15,2022,TX,GRAYSON,55,YEAR
16,2022,TX,HILL,65.1,YEAR
17,2022,TX,LAMAR,43.4,YEAR
18,2022,TX,LIMESTONE,107.3,YEAR
19,2022,TX,MCLENNAN,61.2,YEAR
20,2022,TX,MILAM,70,YEAR
21,2022,TX,NAVARRO,64.4,YEAR
22,2022,TX,WILLIAMSON,52.2,YEAR
23,2022,TX,ROBERTSON,85.2,YEAR
24,2022,TX,WALLER,60.2,YEAR
25,2022,TX,TOM GREEN,105.4,YEAR
26,2022,TX,BEXAR,53,YEAR
27,2022,TX,BURLESON,89.7,YEAR
28,2022,TX,CALDWELL,40.7,YEAR
29,2022,TX,COLORADO,67.6,YEAR
30,2022,TX,DE WITT,60.2,YEAR
31,2022,TX,FAYETTE,55.6,YEAR
32,2022,TX,GONZALES,56,YEAR
33,2022,TX,GUADALUPE,33.5,YEAR
34,2022,TX,HAYS,30.1,YEAR
35,2022,TX,LAVACA,57.7,YEAR
36,2022,TX,LEE,52.4,YEAR
37,2022,TX,WILSON,51,YEAR
38,2022,TX,SAN PATRICIO,34.9,YEAR
39,2022,TX,CALHOUN,76.2,YEAR
40,2022,TX,FORT BEND,72.7,YEAR
41,2022,TX,JACKSON,57.2,YEAR
42,2022,TX,MATAGORDA,89.8,YEAR
43,2022,TX,VICTORIA,74.3,YEAR
44,2022,TX,WHARTON,77.4,YEAR
45,2022,TX,JIM WELLS,116.1,YEAR
46,2022,TX,CAMERON,96.8,YEAR
47,2022,TX,HIDALGO,90.7,YEAR
48,2022,TX,OTHER COUNTIES,116.3,YEAR
49,2022,TX,OTHER COUNTIES,15,YEAR
